Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults treated for periodontitis and receiving SPT,SPT performed by general dental practitioners under specialist prescription,SPT performed in a specialist practice,Tooth loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving SPT,SPT performed by general dental practitioners under specialist prescription,SPT performed in a specialist practice,Bleeding on probing (%),MD,7.4,-8.12,22.92,FALSE,35,1,Very low,Single study at high risk of bias small sample size and imprecision in the effect estimate,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving SPT,SPT performed by general dental practitioners under specialist prescription,SPT performed in a specialist practice,Clinical attachment loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving SPT,SPT performed by general dental practitioners under specialist prescription,SPT performed in a specialist practice,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving SPT,SPT performed by general dental practitioners under specialist prescription,SPT performed in a specialist practice,Probing pocket depth (mm),MD,0.2,-0.4,0.8,FALSE,35,1,Very low,Single study at high risk of bias small sample size and imprecision in the effect estimate,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving supportive periodontal therapy,Minocycline or doxycycline gel plus mechanical debridement,Mechanical debridement,Tooth loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving supportive periodontal therapy,Minocycline or doxycycline gel plus mechanical debridement,Mechanical debridement,Bleeding on probing (ratios),OR,0.45,0.14,1.52,FALSE,50,1,Very low,Single study at high risk of bias small sample size and serious imprecision in the effect estimate,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving supportive periodontal therapy,Minocycline or doxycycline gel plus mechanical debridement,Mechanical debridement,Clinical attachment level (mm),MD,0.1,-0.42,0.62,FALSE,53,1,Low,Single study at high risk of bias small sample size and serious imprecision in the effect estimate,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving supportive periodontal therapy,Minocycline or doxycycline gel plus mechanical debridement,Mechanical debridement,Pocket depth (mm),MD,-0.1,-0.59,0.39,FALSE,51,1,Low,Single study at high risk of bias small sample size and serious imprecision in the effect estimate,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving supportive periodontal therapy,Minocycline or doxycycline gel plus mechanical debridement,Mechanical debridement,Adverse events,NA,NA,NA,NA,NA,251,2,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving supportive periodontal therapy,Photodynamic therapy plus mechanical debridement,Mechanical debridement,Tooth loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving supportive periodontal therapy,Photodynamic therapy plus mechanical debridement,Mechanical debridement,Bleeding on probing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults treated for periodontitis and receiving supportive periodontal therapy,Photodynamic therapy plus mechanical debridement,Mechanical debridement,Clinical attachment level (mm),MD,-0.97,-3.51,1.57,FALSE,10,1,Very low,Study at unclear risk of bias and very small sample size,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving supportive periodontal therapy,Photodynamic therapy plus mechanical debridement,Mechanical debridement,Probing pocket depth (mm),MD,-0.09,-1.41,1.23,FALSE,10,1,Very low,Study at unclear risk of bias and very small sample size,TRUE,TRUE,FALSE,FALSE,FALSE
Adults treated for periodontitis and receiving supportive periodontal therapy,Photodynamic therapy plus mechanical debridement,Mechanical debridement,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
