Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adolescents undergoing orthodontic treatment - initial alignment phase,Nickel titanium arch wires,Multistrand stainless steel initial arch wires,Tooth movement,NA,NA,NA,NA,NA,174,3,Low,All studies at high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Nickel titanium arch wires,Multistrand stainless steel initial arch wires,Pain (VAS) day 1 or day 7,NA,NA,NA,NA,NA,42,1,Very low,"One small study at high risk of bias, lacks precision",TRUE,TRUE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Nickel titanium arch wires,Multistrand stainless steel initial arch wires,Root resorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adolescents undergoing orthodontic treatment - initial alignment phase,Superelastic nickel titanium arch wires,Conventional (stabilised) nickel titanium arch wires,Tooth movement,NA,NA,NA,NA,NA,40,1,Very low,"One small study at high risk of bias, lacks precision",TRUE,TRUE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Superelastic nickel titanium arch wires,Conventional (stabilised) nickel titanium arch wires,Pain (VAS) day 1,NA,NA,NA,NA,NA,79,1,Very low,"One small study at high risk of bias, lacks precision",TRUE,TRUE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Superelastic nickel titanium arch wires,Conventional (stabilised) nickel titanium arch wires,Root resorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adolescents undergoing orthodontic treatment - initial alignment phase,Coaxial nickel titanium arch wire,Single-strand superelastic nickel titanium arch wire,Alignment (mm/12 weeks),NA,NA,NA,NA,NA,24,1,Very low,"One small study at high risk of bias, poor precision",TRUE,TRUE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Copper nickel titanium arch wire,Single-strand superelastic nickel titanium arch wire,Alignment rate ratio,NA,NA,NA,NA,NA,60,1,Very low,"One small study at high risk of bias, poor precision",TRUE,TRUE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Thermoelastic nickel titanium arch wire,Single-strand superelastic nickel titanium arch wire,Pain (VAS) day 1 & day 7,NA,NA,NA,NA,NA,30,1,Very low,"One small study at high risk of bias, poor precision",TRUE,TRUE,FALSE,FALSE,FALSE
Adolescents undergoing orthodontic treatment - initial alignment phase,Either coaxial copper nickel titanium or thermoelastic nickel titanium arch wire,Single-strand superelastic nickel titanium arch wire,Root Resorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
