Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People with oral lichen planus,Topical corticosteroids,Placebo,Pain resolution,RR,1.91,1.08,3.36,TRUE,72,2,Low,Downgraded one level due to risk of bias (one study judged at unclear risk). Downgraded one level due to imprecision (few participants and large CI).,TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Topical corticosteroids,Placebo,Clinical resolution,RR,6,0.76,47.58,FALSE,72,2,Very low,Downgraded one level due to risk of bias (one study judged at unclear risk). Downgraded two levels due to serious imprecision (few participants and large CI that includes possibility of either corticosteroid or placebo being superior).,TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Topical corticosteroids,Placebo,Adverse effects ,RR,1.48,0.48,4.56,FALSE,88,3,Very low,Downgraded one level due to risk of bias (one study judged at unclear risk). Downgraded two levels due to serious imprecision (few participants and large CI that includes possibility of either corticosteroid or placebo being superior).,TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Clobetasol,Ciclosporin,Pain resolution ,RR,2.11,0.76,5.86,FALSE,39,1,Very low,"Downgraded three levels as very small single study at unclear risk of bias, with large CI that includes the possibility of either intervention being superior.",TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Clobetasol,Tacrolimus,Pain resolution ,RR,0.45,0.24,0.88,TRUE,100,2,Very low,"Downgraded three levels as small number of participants, with one study at unclear risk of bias, and very high heterogeneity.",TRUE,TRUE,TRUE,FALSE,FALSE
People with oral lichen planus,Triamcinolone,Tacrolimus,Pain resolution ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with oral lichen planus,Clobetasol,Ciclosporin,Clinical resolution ,RR,3.16,1,9.93,TRUE,39,1,Very low,"Downgraded three levels as very small single study at unclear risk of bias, with large CI that included the possibility that there is no difference between the interventions.",TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Clobetasol,Tacrolimus,Clinical resolution ,RR,0.61,0.38,0.99,TRUE,52,2,Very low,"Downgraded three levels as small number of participants in two studies at unclear risk of bias, and very high heterogeneity.",TRUE,TRUE,TRUE,FALSE,FALSE
People with oral lichen planus,Triamcinolone,Tacrolimus,Clinical resolution ,RR,0.86,0.55,1.35,FALSE,60,2,Very low,"Downgraded three levels as small number of participants in two studies at unclear risk of bias, and very high heterogeneity, with large CI that included the possibility of either intervention being superior.",TRUE,TRUE,TRUE,FALSE,FALSE
People with oral lichen planus,Clobetasol,Ciclosporin,Adverse effects,RR,6.32,0.84,47.69,FALSE,39,1,Very low,"Downgraded three levels as very small single study at unclear risk of bias, with large CI that includes the possibility of either intervention being superior.",TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Clobetasol,Tacrolimus,Adverse effects,RR,0.05,0,0.83,TRUE,100,2,Very low,"Downgraded three levels as small number of participants and events, both studies at unclear risk of bias and large CI including no difference between the interventions.",TRUE,TRUE,FALSE,FALSE,FALSE
People with oral lichen planus,Triamcinolone,Tacrolimus,Adverse effects,RR,0.47,0.22,0.99,TRUE,58,2,Low,"Downgraded two levels as small number of participants and wide CI, and one study at unclear risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
