Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,no rinsing,Incidence of infection of dental healthcare providers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,no rinsing,Reduction in level of contamination by particles > 5 �m (droplets) at distances of < 2 m from patient's oral cavity in the operative environment �operator level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,no rinsing,"Reduction in level of contamination by particles ?5 �m (droplet nuclei) at distances of ? 2 m from patient's oral cavity in the operative environment
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,no rinsing,"Adverse events such as transient discolouration, altered taste, allergic reaction, hypersensitivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,water,Incidence of infection of dental healthcare providers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,water,Reduction in level of contamination by particles > 5 µm (droplets) at distances of < 2 m from patient's oral cavity in the operative environment – combined patient and operator level,MD,632.94,1267.33,-1.45,FALSE,80,3,Very low,"Downgraded two levels due to inconsistency.
Downgraded one level due to imprecision.
Downgraded one level due to risk of bias.",TRUE,TRUE,TRUE,FALSE,FALSE
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,water,"Reduction in the level of contamination by particles > 5 µm (droplets) at distances of < 2 m from patient's oral cavity in the operative environment – combined operator, assistant and patient level",MD,101.1,107.01,95.19,TRUE,20,1,Low,"Downgraded one level due to imprecision.
Downgraded one level due to risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,water,Reduction in level of contamination by particles ?5 �m (droplet nuclei) at distances of ? 2 m from patient's oral cavity in the operative environment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental healthcare professionals treating them,CHX,water,"Adverse events such as transient discolouration, altered taste, allergic reaction, hypersensitivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dental patients undergoing aerosol‐generating procedures and dental care professionals treating them,CHX,saline,Incidence of infection of dental healthcare providers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental care professionals treating them,CHX,saline,Reduction in level of contamination by particles > 5 µm (droplets) at distances of < 2 m from patient's oral cavity in the operative environment – operator level,MD,21.33,36.8,5.86,TRUE,12,1,Very low,"Downgraded two levels due to serious risk of bias.
Downgraded two levels due to serious imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
dental patients undergoing aerosol‐generating procedures and dental care professionals treating them,CHX,saline,Reduction in the level of contamination by particles ?5 �m (droplet nuclei) at distances of ? 2 m from patient's oral cavity in the operative environment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dental patients undergoing aerosol‐generating procedures and dental care professionals treating them,CHX,saline,"Adverse events such as transient discolouration, altered taste, allergic reaction, hypersensitivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
