Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Bar attachment system of mandibular overdentures,Success (short term),NA,NA,NA,NA,NA,130,2,Very low,"Risk of bias (serious), inconsistency (very serious), imprecision (very serious)",TRUE,TRUE,TRUE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Bar attachment system of mandibular overdentures,Re-treatment (repair) (short term),RR,3.11,1.68,5.75,TRUE,130,2,Very low,"Risk of bias (serious), inconsistency (very serious), imprecision (very serious)",TRUE,TRUE,TRUE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Bar attachment system of mandibular overdentures,Re-treatment (replace) (short term),RR,1.18,0.38,3.71,FALSE,130,2,Very low,"Risk of bias (serious), inconsistency (very serious), imprecision (very serious)",TRUE,TRUE,TRUE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Telescopic attachment system of mandibular overdentures,Patrix replaced (short term),RR,6,0.86,41.96,FALSE,22,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Telescopic attachment system of mandibular overdentures,Matrix activated (short term),RR,11,0.68,177.72,FALSE,22,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Telescopic attachment system of mandibular overdentures,Matrix replaced (short term),RR,1.75,0.71,4.31,FALSE,22,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Telescopic attachment system of mandibular overdentures,Reline of implant overdenture (short term),RR,2.33,0.81,6.76,FALSE,22,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Magnetic attachment system of mandibular overdentures,Success (medium term),RR,0.84,0.64,1.1,FALSE,69,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Magnetic attachment system of mandibular overdentures,Re-treatment (repair) (medium term),RR,1.75,0.65,4.72,FALSE,69,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
Edentulous adults receiving implant overdentures in one or both jaws to overcome problems with conventional complete dentures,Ball attachment system of mandibular overdentures,Magnetic attachment system of mandibular overdentures,Costs (medium term),MD,-247.37,-346.32,-148.42,TRUE,69,1,Very low,"Risk of bias (serious), imprecision (very serious)",TRUE,TRUE,FALSE,FALSE,FALSE
