Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
patients with dentinal hypersensitivity,laser,placebo/no treatment,Changes in intensity of pain (VAS) when tested through air blast stimuli - short term (0 to 24 hours),MD,2.24,3.55,0.93,TRUE,978,13,LOW,Downgraded 2 levels for inconsistency: marked heterogeneity is noted among the studies (I2 = 99%).,FALSE,FALSE,TRUE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Changes in intensity of pain (VAS) when tested through air blast stimuli - medium term (24 hours to 2 months),MD,2.46,3.57,1.35,TRUE,1007,11,VERY LOW,"Downgraded 1 level for risk of bias: blinding of outcome assessors was not performed or unclear in studies that contribute significantly to the participants' pool. Blinding of participants was not performed in 1 of the parallel studies.
Downgraded 2 levels for inconsistency: marked heterogeneity is noted among the studies (I2 = 98%).",TRUE,FALSE,TRUE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Changes in intensity of pain (VAS) when tested through air blast stimuli - long term (more than 2 months),MD,2.6,4.47,0.73,TRUE,564,5,VERY LOW,"Downgraded 2 levels for inconsistency: marked heterogeneity is noted among the studies (I2 = 98%).
Downgraded 1 level for imprecision: wide confidence interval.",FALSE,TRUE,TRUE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Adverse events,NA,NA,NA,NA,NA,954,11,LOW,Downgraded 1 level each for risk of bias and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Patient-reported quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients with dentinal hypersensitivity,laser,placebo/no treatment,Changes in intensity of pain (VAS) when tested through tactile stimuli - short term (0 to 24 hours),MD,0.67,1.31,0.03,TRUE,506,8,LOW,"Downgraded 1 level for risk of bias: studies with significant contribution to data analysis were rated as at unclear and high risk of bias for randomization and blinding of outcome assessors.
Downgraded 1 level for inconsistency: marked heterogeneity with I2 = 92% and some studies crossing the threshold.",TRUE,FALSE,TRUE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Changes in intensity of pain (VAS) when tested through tactile stimuli - medium term (24 hours to 2 months),MD,1.73,3.17,0.3,TRUE,591,9,VERY LOW,Downgraded 1 level for risk of bias: studies with significant contribution to data analysis were rated as at unclear and high risk of bias for randomization and blinding of outcome assessors.Downgraded 2 levels for inconsistency: marked heterogeneity with I2 = 97% and some studies crossing the threshold.,TRUE,FALSE,TRUE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Changes in intensity of pain (VAS) when tested through tactile stimuli - long term (more than 2 months),MD,3.52,10.37,-3.33,FALSE,184,2,VERY LOW,"Downgraded 1 level for risk of bias: the study with significant contribution to data analysis was rated as at unclear risk of bias for selection, detection, and attrition bias.
Downgraded 2 levels for inconsistency: marked heterogeneity with I2 = 99%.
Downgraded 1 level for imprecision: wide confidence interval crossing the threshold.",TRUE,TRUE,TRUE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Adverse events,NA,NA,NA,NA,NA,386,5,LOW,Downgraded 1 level each for risk of bias and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
patients with dentinal hypersensitivity,laser,placebo/no treatment,Patient-reported quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
