Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Gingivitis,SMD,-0.01,-0.13,0.11,FALSE,1087,2,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Calculus,SMD,-0.32,-0.44,-0.2,TRUE,1086,2,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Plaque,MD,-0.04,-0.13,0.05,FALSE,207,1,Low,We downgraded the certainty of evidence by one level due to concerns over the risk of bias related to withdrawals and baseline imbalances in the study groups. We also downgraded by one level for indirectness due to uncertainty over the degree to which an intervention effect on this outcome would reflect an impact on long?term patient important outcomes.,TRUE,FALSE,FALSE,TRUE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Probing depths,MD,0,-0.04,0.04,FALSE,880,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Quality of life,MD,-0.3,-1.24,0.64,FALSE,795,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Participant satisfaction,RR,1.83,1.28,2.63,TRUE,205,1,Low,We downgraded the certainty of evidence by two levels: one level due to concerns over the risk of bias related to withdrawals and baseline imbalances in the study groups and one level due to the use of a non?validated measurement scale.,TRUE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Perception of oral cleanliness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Costs (NHS perspective),MD,0.52,-18.1,19.14,FALSE,554,1,Very low,We downgraded the certainty of the evidence by three levels: two levels for serious imprecision (due to the very wide confidence interval accompanying the estimate) and one level for indirectness (due to uncertainty over the applicability of the results to settings outside the UK where the resources required or used for S&P treatments may vary).,FALSE,TRUE,FALSE,TRUE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P treatment,No scheduled S&P treatment,Mean cost to NHS per participant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Gingivitis,SMD,0.03,-0.09,0.15,FALSE,1090,2,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Calculus,SMD,-0.13,-0.25,-0.01,TRUE,1086,2,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Plaque,MD,-0.04,-0.13,0.05,FALSE,207,1,Low,We downgraded the certainty of evidence by one level due to concerns over the risk of bias related to withdrawals and baseline imbalances in the study groups. We also downgraded by one level for indirectness due to uncertainty over the degree to which an intervention effect on this outcome would reflect an impact on long?term patient important outcomes.,TRUE,FALSE,FALSE,TRUE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Probing depths,MD,0,-0.04,0.04,FALSE,882,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Quality of life,MD,-0.4,-1.34,0.54,FALSE,786,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Participant satisfaction,RR,1.11,0.85,1.47,FALSE,207,1,Very low,We downgraded the certainty of evidence by three levels: two levels due to concerns over the risk of bias related to 1. withdrawals and baseline imbalances in the study groups and 2. use of a non?validated measurement scale; we also downgraded by one level for imprecision as the 95% CI included no difference between the interventions and an appreciable difference exceeding a minimal important difference.,TRUE,TRUE,FALSE,FALSE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Perception of oral cleanliness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Costs (NHS perspective),MD,-7.62,-28.39,13.15,FALSE,556,1,Very low,We downgraded the certainty of the evidence by three levels: two levels for serious imprecision (due to the very wide confidence interval accompanying the estimate) and one level for indirectness (due to uncertainty over the applicability of the results to settings outside the UK where the resources required or used for S&P treatments may vary).,FALSE,TRUE,FALSE,TRUE,FALSE
Healthy dentate adults without severe periodontitis,6-monthly routine S&P,12-monthly routine S&P,Mean cost to NHS per participant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Gingivitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Calculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Probing depth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Participant satisfaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy dentate adults,Routine scale and polish by dentist,Routine scale and polish by dental care professional,Costs (NHS perspective),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
