Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
children (7 to 11 years old) with posterior crossbite,expansion plate,observation,Crossbite correction,OR,25.26,13.08,48.77,TRUE,148,3,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,expansion plate,observation,Molar expansion measured by intermolar distance,MD,3.3,2.88,3.73,TRUE,145,3,Moderate,"Downgraded (1 level) because there was unexplained inconsistency that was supported by substantial I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 8.76, df = 2 (P = 0.01); I² = 77%).",FALSE,FALSE,TRUE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,expansion plate,observation,Canine expansion measured by intercanine distance,MD,2.59,2.18,3.01,TRUE,145,3,Moderate,"Downgraded (1 level) because there was unexplained inconsistency that was supported by moderate I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 3.35, df = 2 (P = 0.19); I² = 40%).",FALSE,FALSE,TRUE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,quad-helix,observation,Crossbite correction,OR,50.59,26.77,95.6,TRUE,149,3,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,quad-helix,observation,Molar expansion measured by intermolar distance,MD,4.71,4.31,5.1,TRUE,146,3,Moderate,"Downgraded (1 level) because there was unexplained inconsistency that was supported by substantial I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 6.31, df = 2 (P = 0.04); I² = 68%).",FALSE,FALSE,TRUE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,quad-helix,observation,Canine expansion measured by intercanine distance,MD,3.15,2.77,3.53,TRUE,146,3,Low,"Downgraded (2 levels) because there was unexplained inconsistency that was supported by non?overlapping confidence intervals with considerable I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 30.80, df = 2 (P < 0.00001); I² = 94%).",FALSE,FALSE,TRUE,FALSE,FALSE
children and adolescents with posterior crossbite,Hyrax,observation,Crossbite correction,OR,48.02,21.58,106.87,TRUE,93,3,Moderate,Downgraded (1 level) for high risk of bias in 1 domain in one study and unclear risk of bias in at least 2 domains in one study.,TRUE,FALSE,FALSE,FALSE,FALSE
children and adolescents with posterior crossbite,Hyrax,observation,Molar expansion measured by intermolar distance,MD,5.8,5.15,6.45,TRUE,71,2,Moderate,Downgraded (1 level) for unclear risk of bias in at least 2 domains in one study.,TRUE,FALSE,FALSE,FALSE,FALSE
children and adolescents with posterior crossbite,Hyrax,observation,Canine expansion measured by intercanine distance,Not measured,Not measured,Not measured,Not measured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children (7 to 11 years old) with posterior crossbite,quad-helix,expansion plate,Crossbite correction,RR,1.29,1.13,1.46,TRUE,151,3,Moderate,"Downgraded (1 level) because there was unexplained inconsistency that was supported by substantial I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 8.24, df = 2 (P = 0.02); I² = 76%.",FALSE,FALSE,TRUE,FALSE,FALSE
