Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Children undergoing dental extractions under general anaesthetic,Infiltration injection LA,Placebo or no treatment,Pain or distress,NA,NA,NA,NA,NA,542,6,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Pooling of studies was precluded by the clinical heterogeneity of the included studies in terms of analgesia (lignocaine plus adrenaline, lignocaine alone, or prilocaine plus felypressin), use of supplementary analgesics, and follow?up time (see Table 3).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,Infiltration injection LA,Placebo or no treatment,Bleeding,NA,NA,NA,NA,NA,174,2,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Pooling of studies was precluded by the clinical heterogeneity of the included studies in terms of analgesia (lignocaine plus adrenaline, lignocaine alone, or prilocaine plus felypressin), use of supplementary analgesics, and follow?up time (see Table 3).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,Infiltration injection LA,Placebo or no treatment,Physiological parameters,NA,NA,NA,NA,NA,148,2,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Pooling of studies was precluded by the clinical heterogeneity of the included studies in terms of analgesia (lignocaine plus adrenaline, lignocaine alone, or prilocaine plus felypressin), use of supplementary analgesics, and follow?up time (see Table 3).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,Intraligamental injection LA,No treatment,Pain,NA,NA,NA,NA,NA,115,2,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Pooling of studies was precluded by the clinical heterogeneity of the included studies in terms of analgesia (bupivacaine plus adrenaline or lignocaine plus adrenaline), use of supplementary analgesics, and follow?up time (see Table 4).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,Intraligamental injection LA,No treatment,Bleeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children undergoing dental extractions under general anaesthetic,Intraligamental injection LA,No treatment,Physiological parameters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children undergoing dental extractions under general anaesthetic,"Infiltration injection LA, intraligamental LA",No treatment,Pain or distress,NA,NA,NA,NA,NA,54,1,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Single study of lignocaine plus adrenaline LA (see Table 5).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,"Infiltration injection LA, intraligamental LA",No treatment,Bleeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children undergoing dental extractions under general anaesthetic,"Infiltration injection LA, intraligamental LA",No treatment,Physiological parameters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children undergoing dental extractions under general anaesthetic,Topical LA,Placebo or no treatment,Pain or distress,NA,NA,NA,NA,NA,343,4,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Pooling of studies was precluded by the clinical heterogeneity of the included studies in terms of analgesia (lignocaine alone (delivered as spray), bupivacaine plus adrenaline (delivered on a dental swab)), use of supplementary analgesics, and follow?up time (see Table 6).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,Topical LA,Placebo or no treatment,Bleeding,NA,NA,NA,NA,NA,160,2,Very low,"Quality of evidence assessment was downgraded for study limitations, inconsistency of effect, and imprecision. Pooling of studies was precluded by the clinical heterogeneity of the included studies in terms of analgesia (lignocaine alone (delivered as spray), bupivacaine plus adrenaline (delivered on a dental swab)), use of supplementary analgesics, and follow?up time (see Table 6).",TRUE,TRUE,TRUE,FALSE,FALSE
Children undergoing dental extractions under general anaesthetic,Topical LA,Placebo or no treatment,Physiological parameters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
