Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
patients needing retrograde filling in root canal therapy,MTA,IRM,Success rate – 1-year outcome (tooth as unit of analysis),RR,1.09,0.97,1.22,FALSE,222,2,very low,"Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; both studies had the personnel unblinded due to the nature of the study design, and� Chong 2003� had incomplete outcome data reported) and imprecision (downgraded by 2 levels; small number of participants and wide confidence intervals including both benefit and no benefit).",TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,MTA,IRM,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients needing retrograde filling in root canal therapy,MTA,Super-EBA,Success rate – 1-year outcome (tooth as unit of analysis),RR,1.03,0.96,1.1,FALSE,192,1,very low,Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; the included study (Kim 2016) had high risk of bias regarding incomplete data reporting and personnel blinding) and imprecision (downgraded by 2 levels; small population might cause serious imprecision).,TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,MTA,Super-EBA,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients needing retrograde filling in root canal therapy,Super-EBA,IRM,Success rate – 1-year outcome (tooth as unit of analysis),RR,0.9,0.8,1.01,FALSE,194,1,very low,Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; high risk of bias existed in the only included study (Wälivaara 2011) on allocation concealment and personnel blinding) and imprecision (downgraded by 2 levels; small number of participants and wide confidence intervals including both benefit and no benefit).,TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,Super-EBA,IRM,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients needing retrograde filling in root canal therapy,Dentine-bonded resin composite,Glass ionomer cement,Success rate – 1-year outcome PP analysis (tooth as unit of analysis),RR,2.39,1.6,3.59,TRUE,122,1,very low,"Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; the included study (Jensen 2002) did not have participants, personnel, or outcome assessors blinded) and imprecision (downgraded by 2 levels; small population might cause serious imprecision).",TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,Dentine-bonded resin composite,Glass ionomer cement,Success rate – 1-year outcome PP analysis (root as unit of analysis),RR,1.59,1.2,2.09,TRUE,127,1,very low,"Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; the included study (Jensen 2002) did not have participants, personnel, or outcome assessors blinded) and imprecision (downgraded by 2 levels; small population might cause serious imprecision).",TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,Dentine-bonded resin composite,Glass ionomer cement,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients needing retrograde filling in root canal therapy,Glass ionomer cement,Amalgam,Success rate – 1-year outcome (tooth as unit of analysis),RR,0.98,0.86,1.12,FALSE,105,1,very low,Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; the included study (Jesslen 1995) had the personnel unblinded due to the nature of the study design) and imprecision (downgraded by 2 levels; small number of participants and wide confidence intervals including both benefit and no benefit).,TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,Glass ionomer cement,Amalgam,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patients needing retrograde filling in root canal therapy,MTA,RRM,Success rate – 1-year outcome (tooth as unit of analysis),RR,1,0.94,1.07,FALSE,278,2,very low,Downgraded by 3 levels due to high risk of bias (downgraded by 1 level; the included studies (Safi 2019;� Zhou 2017) had high risk of bias regarding personnel blinding) and imprecision (downgraded by 2 levels; small number of participants and wide confidence intervals including both benefit and no benefit).,TRUE,TRUE,FALSE,FALSE,FALSE
patients needing retrograde filling in root canal therapy,MTA,RRM,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
