Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Primary care dental patients (aged ≤ 20 years),24-month recall,12-month recall,Caries (primary teeth) - dmfs increment in 3- to 5-year-olds,MD,0.9,-0.16,1.96,FALSE,58,1,Very Low,"We downgraded the certainty of evidence by 2 levels for risk of bias because of concerns over a) selection bias arising from unclear methods of sequence generation and allocation concealment, and b) detection bias due to an absence of blinding of the outcome assessors for the clinical outcomes. We also downgraded the certainty of evidence by 1 level for imprecision; the 95% confidence intervals included little to no difference and an appreciable difference exceeding a minimal important difference (MID).",TRUE,TRUE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≤ 20 years),24-month recall,12-month recall,Caries (permanent teeth) - DMFS increment in 16- to 20-year-olds,MD,0.86,-0.03,1.75,FALSE,127,1,Very Low,"We downgraded the certainty of evidence by 2 levels for risk of bias because of concerns over a) selection bias arising from unclear methods of sequence generation and allocation concealment, and b) detection bias due to an absence of blinding of the outcome assessors for the clinical outcomes. We also downgraded the certainty of evidence by 1 level for imprecision; the 95% confidence intervals included little to no difference and an appreciable difference exceeding a minimal important difference (MID).",TRUE,TRUE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≤ 20 years),24-month recall,12-month recall,Periodontal disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary care dental patients (aged ≤ 20 years),24-month recall,12-month recall,Oral-health-related quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary care dental patients (aged ≤ 20 years),24-month recall,12-month recall,Other harms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary care dental patients (aged ≥ 18 years),Risk-based recall,6-month recall,Caries - Prevalence of moderate to extensive caries,RR,1.04,0.99,1.09,FALSE,1478,1,Moderate,"We downgraded the certainty of evidence by 1 level for imprecision even though the limits of the confidence interval accompanying the risk ratio estimate did not reach the suggested GRADE threshold that should be considered for downgrading (a relative risk reduction (RRR) or relative risk increase (RRI) greater than 25%). Our decision was based on the 95% confidence interval accompanying the risk difference estimate that included little to no difference and an appreciable difference exceeding a minimal important difference (RD 3%, 95% CI ?1% to 7%).",FALSE,TRUE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),Risk-based recall,6-month recall,Caries - Number of tooth surfaces with any caries,MD,0.15,-0.77,1.08,FALSE,1478,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),Risk-based recall,6-month recall,Periodontal disease - Percentage of sites with gingival bleeding,MD,0.78,-1.17,2.73,FALSE,1472,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),Risk-based recall,6-month recall,Oral-health-related quality of life,MD,-0.35,-1.02,0.32,FALSE,1551,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),Risk-based recall,6-month recall,Other harms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary care dental patients (aged ≥ 18 years),24-month recall,6-month recall,Caries - Prevalence of moderate to extensive caries,RR,1.05,0.92,1.2,FALSE,271,1,Low,We downgraded the certainty of evidence by 2 levels for imprecision even though the limits of the confidence interval accompanying the risk ratio estimate did not reach the suggested GRADE threshold that should be considered for downgrading (a relative risk reduction (RRR) or relative risk increase (RRI) greater than 25%). Our decision was based on the 95% confidence interval accompanying the risk difference estimate which included little to no difference and an appreciable difference exceeding a minimal important difference in both directions [RD 4 % (95% CI ?6% to 14%)].,FALSE,TRUE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),24-month recall,6-month recall,Caries - Number of tooth surfaces with any caries,MD,-0.6,-2.54,1.34,FALSE,271,1,Moderate,We downgraded the certainty of evidence by 1 level for imprecision. The 95% confidence interval included little to no difference and an appreciable difference exceeding a minimal important difference.,FALSE,TRUE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),24-month recall,6-month recall,Periodontal disease - Percentage of sites with gingival bleeding,MD,-0.91,-5.02,3.2,FALSE,271,1,Moderate,We downgraded the certainty of evidence by 1 level for imprecision. The 95% confidence interval included little to no difference and an appreciable difference exceeding a minimal important difference.,FALSE,TRUE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),24-month recall,6-month recall,Oral-health-related quality of life,MD,-0.24,-1.55,1.07,FALSE,305,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Primary care dental patients (aged ≥ 18 years),24-month recall,6-month recall,Other harms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primary care patients (aged ≥ 18 years),Risk-based recall,24-month recall,Caries - Prevalence of moderate to extensive caries,RR,1.06,0.95,1.19,FALSE,279,1,Moderate,"We downgraded the certainty of evidence by 1 level for imprecision even though the limits of the confidence interval accompanying the risk ratio estimate did not reach the suggested GRADE threshold that should be considered for downgrading (a relative risk reduction (RRR) or relative risk increase (RRI) greater than 25%). Our decision was based on the 95% confidence interval accompanying the risk difference estimate, which included little to no difference and an appreciable difference exceeding a minimal important difference (RD 4.7%, 95% CI ?4% to 14%).",FALSE,TRUE,FALSE,FALSE,FALSE
Primary care patients (aged ≥ 18 years),Risk-based recall,24-month recall,Caries - Number of tooth surfaces with any caries,MD,1.4,-0.69,3.49,FALSE,279,1,Moderate,We downgraded the certainty of evidence by 1 level for imprecision. The 95% confidence interval included little to no difference and an appreciable difference exceeding a minimal important difference.,FALSE,TRUE,FALSE,FALSE,FALSE
Primary care patients (aged ≥ 18 years),Risk-based recall,24-month recall,Periodontal disease - Percentage of sites with gingival bleeding,MD,-0.07,-4.1,3.96,FALSE,279,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Primary care patients (aged ≥ 18 years),Risk-based recall,24-month recall,Oral-health-related quality of life,MD,-0.37,-1.69,0.95,FALSE,298,1,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
Primary care patients (aged ≥ 18 years),Risk-based recall,24-month recall,Other harms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
