Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People with serious mental illness,Oral health education,Standard care,Oral health: Not having seen a dentist in the past year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Oral health education,Standard care,Oral health: Not brushing teeth twice a day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Oral health education,Standard care,Quality of life: Chronic pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Oral health education,Standard care,Adverse events: Clinically important specific adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Oral health education,Standard care,Service use: Emergency medical/dental treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Oral health education,Standard care,Leaving the study early,RR,1.67,0.45,6.24,FALSE,50,1,Moderate,"Risk of bias: rated 'very serious' - supported by 'interested' industry, reporting problematic, unclear if standard error reported as standard deviation.",TRUE,FALSE,FALSE,FALSE,FALSE
People with serious mental illness,Oral health education,Standard care,Dental state: No clinically important change in plaque index,MD,-0.5,-0.62,-0.38,TRUE,40,1,Very low,"Risk of bias: rated 'very serious' - supported by 'interested' industry, reporting problematic, unclear if standard error reported as standard deviation. Indirectness: rated 'serious' - not binary outcome, clinical meaning of average scores not clear.",TRUE,FALSE,FALSE,TRUE,FALSE
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Oral health: Not having seen a dentist in the past year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Oral health: Not brushing teeth twice a day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Quality of life: Chronic pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Adverse events: Clinically important specific adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Service use: Emergency medical/dental treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Leaving the study early,RR,3,0.33,27.23,FALSE,60,1,Moderate,Risk of bias: rated 'serious' - important assumptions in the denominator data.,TRUE,FALSE,FALSE,FALSE,FALSE
People with serious mental illness,Motivational interview plus oral health education,Oral health education,Dental state: No clinically important change in plaque index,MD,-0.6,-1.02,-0.18,TRUE,56,1,Very low,"Risk of bias: rated 'very serious' - supported by 'interested' industry, reporting problematic, unclear if standard error reported as standard deviation. Indirectness: rated 'serious' - not binary outcome, clinical meaning of average scores not clear.",TRUE,FALSE,FALSE,TRUE,FALSE
People with serious mental illness,Monitoring,No monitoring,Oral health: Not having seen a dentist in the past year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Monitoring,No monitoring,Oral health: Not brushing teeth twice a day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Monitoring,No monitoring,Quality of life: Chronic pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Monitoring,No monitoring,Adverse events: Clinically important specific adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Monitoring,No monitoring,Service use: Emergency medical/dental treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with serious mental illness,Monitoring,No monitoring,Leaving the study early,RR,1.07,1,1.14,FALSE,1682,1,Moderate,Risk of bias: rated 'serious' - important assumptions in the denominator data.,TRUE,FALSE,FALSE,FALSE,FALSE
People with serious mental illness,Monitoring,No monitoring,Dental state: No clinically important change in plaque index,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
