Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Duration of orthodontic treatment,MD,-0.61,-2.44,1.22,FALSE,77,2,Low,Downgraded one level for limitation in design and implementation due to overall high risk¬ of¬ bias. Downgraded one level for imprecision¬ of evidence due to small sample size.¬ ,TRUE,TRUE,FALSE,FALSE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Total number of orthodontic appliance adjustment appointments during treatment,MD,-0.32,-1.05,1.69,FALSE,77,2,Low,Downgraded one level for limitation in design and implementation due to overall high risk¬ of¬ bias. Also downgraded one level for imprecision¬ of evidence due to small sample size.¬ ,TRUE,TRUE,FALSE,FALSE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Orthodontic tooth movement (OTM) during alignment stage,MD,-0.2,-7.02,6.62,FALSE,54,1,Low,"¬ Downgraded two¬ levels¬ for imprecision¬ of evidence due to small sample size and single study involving only mandibular arch with extraction treatment plan. Although the study was rated as unclear risk of reporting bias, this does not have a direct impact on this outcome.¬ ",FALSE,TRUE,FALSE,FALSE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Orthodontic tooth movement (OTM) during space closure stage (mm/month),MD,0.1,-0.08,0.29,FALSE,81,2,Low,Downgraded one level for limitation in design and implementation due to overall high risk¬ of¬ bias. Also downgraded one level for imprecision¬ of evidence due to inconsistency as the space closure for both the maxillary and mandibular arch were combined.¬ ,TRUE,FALSE,TRUE,FALSE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Patient perception of pain and discomfort using VAS 0 to 100 mm,MD,2.56,-2.35,7.47,FALSE,153,3,Low,Downgraded one level for limitation in design and implementation due to 2 studies out of 3 at high risk¬ of¬ bias. Downgraded one level for imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Patient‚Äêreported need for analgesics,OR,1.64,0.6,4.53,FALSE,76,2,Low,Downgraded one level for limitation in design and implementation due to one study rated as high risk¬ of¬ bias.¬  Downgraded one level for imprecision¬ of evidence due to wide confidence¬ intervals. Also downgraded one level¬ for¬ indirectness due to short duration period assessed which does not represent the full treatment duration¬ (surrogate results).,TRUE,TRUE,FALSE,TRUE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,orthodontic appliance treatment with vibrational light forces,conventional orthodontic appliance treatment,Harms and side effects: OIIRR,MD,0.09,-0.35,0.53,FALSE,50,1,Low,Downgraded one¬ level¬ for¬ imprecision¬ due to small sample size and single study rated unclear risk of bias. Also downgraded one level¬ for¬ indirectness due to short duration period assessed which does not represent the full treatment duration¬ (surrogate results).¬ ,FALSE,TRUE,FALSE,TRUE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,LLLT as an adjunctive intervention to conventional orthodontic treatment,conventional orthodontic treatment,Duration of orthodontic treatment during alignment stage only,MD,-48.87,-56.48,-41.26,TRUE,92,3,Very low,"Downgraded one level for limitation in design and implementation due to overall high risk¬ of¬ bias.¬ Downgraded one level for imprecision¬ of evidence due to wide confidence¬ intervals with high heterogenity; also clinical heterogeneity among included studies resulted from different LLLT devices used. Downgraded one level¬ for¬ indirectness due to short duration period assessed, which does not represent the full treatment duration¬ (surrogate results).",TRUE,TRUE,FALSE,TRUE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,LLLT as an adjunctive intervention to conventional orthodontic treatment,conventional orthodontic treatment,Total number of orthodontic appliance adjustment appointments required during treatment: alignment stage only,MD,-2.5,-2.52,-1.97,TRUE,36,1,Very low,"Downgraded one level for limitation in design and implementation due to overall high risk¬ of¬ bias.¬ Downgraded one level for imprecision¬ of evidence due to single study. Downgraded one level¬ for¬ indirectness due to short duration period assessed, which does not represent the full treatment duration¬ (surrogate results).",TRUE,TRUE,FALSE,TRUE,FALSE
adolescents and adults with malocclusion undergoing orthodontic treatment,LLLT as an adjunctive intervention to conventional orthodontic treatment,conventional orthodontic treatment,Orthodontic tooth movement (OTM) during alignment stage,MD,1.63,-2.6,5.86,FALSE,56,2,Very low,"Downgraded one level for limitation in design and implementation due to overall high risk of bias. Downgraded one level for imprecision of evidence due to small sample. Downgraded one level for indirectness due to short duration period assessed, which does not represent the full treatment duration (surrogate results)",TRUE,TRUE,FALSE,TRUE,FALSE
