review_code,title
CD000978,One-to-one dietary interventions undertaken in a dental setting to change dietary behaviour
CD000979,Pit and fissure sealants for preventing dental decay in permanent teeth
CD001168,Fluoride gels for preventing dental caries in children and adolescents
CD001829,Fluoride supplements (tablets drops gums or lozenges) for preventing dental caries in children
CD001830,Fluoride toothpastes of different concentrations for preventing dental caries
CD002279,Antibiotics for acute necrotizing ulcerative gingivitis
CD002280,Chlorhexidine mouthrinse as an adjunctive treatment for gingival health
CD002281,Routine scale and polish for periodontal health in adults
CD002283,Mechanical versus manual toothbrushes for oral health
CD002284,Powered versus manual toothbrushing for oral health
CD002779,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD003067,Interventions for treating oral ulceration or inflammation in Behçet's disease
CD003220,Dental floss for preventing dental caries and gingivitis
CD003451,Mouthguards for preventing oral and facial injuries
CD003452,Interventions for preventing traumatic dental injuries
CD003453,Interventions for treating traumatic dental injuries
CD003603,Topical fluoride (toothpastes mouthrinses gels or varnishes) for preventing dental caries in children and adolescents
CD003808,Oral versus intravenous antibiotics for bone and joint infection
CD003809,Antibiotics for preventing complications following tooth extractions
CD003811,Cleft lip and palate treatment needs and interventions for children in low and middle income countries
CD003813,Interventions for replacing missing teeth dental implants
CD003815,Interventions for replacing missing teeth different types of dental implants
CD003875,Pre-emptive analgesia for postoperative pain relief in dental procedures
CD003876,Local anaesthesia for reversal of soft tissue anaesthesia
CD003877,Conscious sedation techniques for dental treatment
CD003878,General anaesthesia versus sedation for providing dental treatment
CD003879,Different types of implant materials and designs for facial reconstruction
CD003976,Antibiotic prophylaxis for preventing endocarditis associated with dental procedures
CD004151,Interventions for improving adherence to occlusal splint therapy
CD004152,Stabilisation splint therapy for temporomandibular pain dysfunction syndrome
CD004345,Periodontal therapy for the management of cardiovascular disease in patients with chronic periodontitis
CD004346,Treatment of periodontal disease for glycaemic control in people with diabetes
CD004622,Antibiotics versus placebo for acute dental pain from pulpitis
CD004624,Systemic antibiotics for periodontitis
CD004625,Interventions for necrotizing ulcerative gingivitis
CD004714,Interventions for oral candidiasis in HIV positive patients
CD004969,Interventions for oral lichen planus
CD005098,Interventions for treating burning mouth syndrome
CD005101,Topical interventions for genital lichen sclerosus
CD005293,Interventions for preventing dry socket
CD005296,Local interventions for the management of alveolar osteitis
CD005511,Dental sealants for preventing decay in permanent teeth
CD005512,Fluoride varnishes for preventing dental caries in children and adolescents
CD005516,Local anaesthesia for dental treatment
CD005517,Antibiotic prophylaxis to prevent surgical site infection after oral and maxillofacial surgery
CD005520,Interventions for treating oral candidiasis for patients with cancer receiving treatment
CD005620,Regular dental check-ups for oral health
CD005970,Different methods of posterior composite resin restorations
CD005971,Different types of dental implant placement protocols
CD005972,Different loading protocols for dental implants
CD006202,Interventions for preventing oral mucositis in patients with cancer receiving chemotherapy
CD006204,Interventions for treating oral mucositis for patients with cancer receiving treatment
CD006205,Interventions for preventing oral mucositis for patients with cancer receiving radiotherapy
CD006386,Orthodontic treatment for posterior crossbites
CD006387,Orthodontic treatment for anterior open bite
CD006487,Interventions for treating recurrent aphthous stomatitis
CD006542,Antimicrobial interventions for preventing ventilator-associated pneumonia
CD006698,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD006966,Interventions for managing medication-related osteonecrosis of the jaw
CD006968,Bisphosphonates for osteoporosis in postmenopausal women
CD007156,Interventions for preventing oral candidiasis in patients with cancer receiving chemotherapy
CD007161,Interventions for managing medication-related osteonecrosis of the jaw
CD007447,Oral antifungal medication for toenail onychomycosis
CD007517,Interventions for treating oral candidiasis for patients with cancer receiving treatment
CD007592,Fluoride toothpastes for preventing dental caries in children and adolescents
CD007859,Silver nitrate versus topical antibiotics for preventing conjunctivitis in newborn infants
CD007868,Antifungal agents versus placebo for preventing fungal infections in immunocompromised patients
CD008001,Interventions for preventing oral mucositis in patients with cancer receiving treatment
CD008072,Topical fluoride for preventing dental caries in children and adolescents
CD008367,Interventions for preventing oral complications in people receiving treatment for cancer
CD008375,Interventions for preventing and treating kidney disease in HIV-positive people
CD008392,Interventions for preventing oral candidiasis in people with HIV/AIDS
CD008397,Tobacco cessation interventions delivered by dental professionals
CD008455,Periodontal treatment for diabetic patients
CD008457,Oral prophylaxis for preventing bacterial endocarditis
CD008676,Interventions for treating oral lichen planus
CD008694,Interventions for preventing oral candidiasis in patients with cancer receiving treatment
CD008802,Interventions for treating burning mouth syndrome
CD008829,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD009109,Interventions for preventing dry mouth and salivary gland dysfunction following radiotherapy
CD009197,Interventions for preventing and treating traumatic dental injuries
CD009376,Oral appliances and functional orthopaedic appliances for obstructive sleep apnoea in children
CD009378,Oral appliances for obstructive sleep apnoea
CD009409,Non-pharmacological interventions for sleep promotion in the intensive care unit
CD009434,Calcium channel blockers for primary pulmonary hypertension
