Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
children with prominent lower front teeth,non-surgical orthodontic treatment,no treatment,Overjet,MD,5.03,3.81,6.25,TRUE,184,4,Moderate,Downgraded due to high/unclear risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with prominent lower front teeth,non-surgical orthodontic treatment,no treatment,ANB,MD,3.05,2.4,3.71,TRUE,345,8,Moderate,Downgraded due to high/unclear risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with prominent lower front teeth,non-surgical orthodontic treatment,no treatment,Perceived need for surgery in adulthood,OR,3.34,1.21,9.24,TRUE,65,1,Low,"Downgraded due to high/unclear risk of bias
Downgraded due to imprecision of results",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,surgical orthodontic treatment,no treatment,Overjet,MD,7.69,6.99,8.4,TRUE,30,1,Low,"Downgraded due to risk of bias: due to the nature of the interventions, participants could not be blinded
Downgraded due to uncertainty in the evidence because it is a single trial",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,surgical orthodontic treatment,no treatment,ANB,MD,5.2,4.48,5.92,TRUE,30,1,Low,"Downgraded due to risk of bias: due to the nature of the interventions, participants could not be blinded
Downgraded due to uncertainty in the evidence because it is a single trial",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,surgical orthodontic treatment,no treatment,Perceived need for surgery in adulthood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with prominent lower front teeth,facemask (RME) or modified facemask,other orthodontic treatments,Overjet,MD,0.96,-0.12,2.04,FALSE,136,4,Very low,"Downgraded due to risk of bias: blinding and/or selective reporting i.e. did not report on overjet and/or high attrition
Downgraded due to imprecision of the results
Downgraded due to inconsistency of the results amongst the studies (high heterogeneity)",TRUE,TRUE,TRUE,FALSE,FALSE
children with prominent lower front teeth,facemask (RME) or modified facemask,other orthodontic treatments,ANB,MD,0.11,-0.54,0.77,FALSE,285,8,Very low,"Downgraded due to risk of bias: blinding and/or selective reporting i.e. did not report on overjet and/or high attrition
Downgraded due to imprecision of the results
Downgraded due to inconsistency of the results amongst the studies (high heterogeneity)",TRUE,TRUE,TRUE,FALSE,FALSE
children with prominent lower front teeth,facemask (RME) or modified facemask,other orthodontic treatments,Perceived need for surgery in adulthood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with prominent lower front teeth,facemask (RME) or modified facemask,surgical orthodontic treatment,Overjet,MD,-0.4,-1.3,0.5,FALSE,43,1,Very low,"Downgraded due to risk of bias: blinding and/or selective reporting, i.e. did not report on overjet and/or high attrition
Downgraded due to imprecision of the results
Downgraded due to uncertainty in the evidence because it is a single trial",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,facemask (RME) or modified facemask,surgical orthodontic treatment,ANB,MD,-0.35,-0.78,0.07,FALSE,143,4,Low,"Downgraded due to risk of bias: blinding and/or selective reporting, i.e. did not report on overjet and/or high attrition
Downgraded due to imprecision of the results",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,facemask (RME) or modified facemask,surgical orthodontic treatment,Perceived need for surgery in adulthood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with prominent lower front teeth,facemask only,facemask (RME),Overjet,MD,1.86,0.39,3.33,TRUE,31,1,Low,"Downgraded due to risk of bias: blinding
Downgraded due to uncertainty in the evidence because it is a single trial",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,facemask only,facemask (RME),ANB,MD,-0.15,-0.94,0.64,FALSE,60,2,Low,"Downgraded due to risk of bias: blinding
Downgraded due to imprecision of the results",TRUE,TRUE,FALSE,FALSE,FALSE
children with prominent lower front teeth,facemask (Alt-RAMEC),facemask (RME),Overjet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with prominent lower front teeth,facemask (Alt-RAMEC),facemask (RME),ANB,MD,-0.46,-1.03,0.1,FALSE,131,4,Low,"Downgraded due to risk of bias: blinding
Downgraded due to imprecision of the results",TRUE,TRUE,FALSE,FALSE,FALSE
