Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Children or adults,Any form of 1-to-1 OHA,No OHA,Periodontal health: gingivitis,NA,NA,NA,NA,NA,477,2,Very low,"1 study at high risk and 1 at unclear risk of bias. 1 study small with contradictory results. Inconsistency between studies, unable to pool data. The number of appointments and intensity of the interventions would not be applicable in routine dental practice. Downgraded for risk of bias, inconsistency and indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Any form of 1-to-1 OHA,No OHA,Periodontal health: plaque levels,NA,NA,NA,NA,NA,477,2,Low,1 study at high risk and 1 at unclear risk of bias. The number of appointments and intensity of the interventions would not be applicable in routine dental practice. Downgraded for risk of bias and indirectness.,TRUE,FALSE,FALSE,TRUE,FALSE
Children or adults,Any form of 1-to-1 OHA,No OHA,Dental caries,NA,NA,NA,NA,NA,377,2,Very low,"2 unclear risk of bias studies. Inconsistency between studies, unable to pool data. The number of appointments and intensity of the interventions would not be applicable in routine dental practice. Downgraded for risk of bias and inconsistency and indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Personalised 1-to-1 OHA,Routine 1-to-1 OHA,Periodontal health: gingivitis,NA,NA,NA,NA,NA,2209,4,Very low,"4 unclear risk of bias studies. Inconsistency between studies, unable to pool data. Setting of 3 studies is secondary care, and intervention in 1 study (number of appointments and/or intensity required) is not applicable to routine dental practice. Downgraded for risk of bias, inconsistency and indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Personalised 1-to-1 OHA,Routine 1-to-1 OHA,Periodontal health: plaque levels,NA,NA,NA,NA,NA,332,3,Very low,"3 unclear risk of bias studies. Inconsistency between studies, unable to pool data. Setting of 3 studies is secondary care, and intervention in 1 study (number of appointments and/or intensity required) is not applicable to routine dental practice. Downgraded for risk of bias, inconsistency and indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Personalised 1-to-1 OHA,Routine 1-to-1 OHA,Dental caries,NA,NA,NA,NA,NA,69,1,Very low,"1 unclear risk of bias study. No usable data. Setting not applicable to routine dental practice, so downgraded for indirectness.",FALSE,FALSE,FALSE,TRUE,FALSE
Children or adults,Self-management,Professional OHA,Periodontal health: gingivitis,NA,NA,NA,NA,NA,185,4,Very low,"4 unclear risk of bias studies. Inconsistency between studies, unable to pool data. 3 studies were in secondary care and 3 of the interventions of 3 trials (number of appointments and/or intensity required) are not applicable to routine dental practice therefore we also downgraded for indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Self-management,Professional OHA,Periodontal health: plaque levels,NA,NA,NA,NA,NA,185,4,Very low,"4 unclear risk of bias studies. Inconsistency between studies, unable to pool data. 3 studies were in secondary care and 3 of the interventions of 3 trials (number of appointments and/or intensity required) are not applicable to routine dental practice therefore we also downgraded for indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Self-management,Professional OHA,Dental caries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Children or adults,Enhanced 1-to-1 OHA,1-to-1 OHA,Periodontal health: gingivitis,NA,NA,NA,NA,NA,782,5,Very low,"1 study at high and 4 at unclear risk of bias. Unable to pool data. 2 of the included studies were in secondary care. Interventions of 4 trials (number of appointments and/or intensity) are not applicable in routine dental practice. Downgraded for risk of bias, inconsistency and indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Enhanced 1-to-1 OHA,1-to-1 OHA,Periodontal health: plaque levels,NA,NA,NA,NA,NA,802,6,Very low,"1 study at high and 5 at unclear risk of bias. Unable to pool data. 2 of the included studies were in secondary care. Interventions of 5 trials (number of appointments and/or intensity) are not applicable in routine dental practice. Downgraded for risk of bias, inconsistency and indirectness.",TRUE,FALSE,TRUE,TRUE,FALSE
Children or adults,Enhanced 1-to-1 OHA,1-to-1 OHA,Dental caries,NA,NA,NA,NA,NA,121,1,Very low,"1 high risk of bias study. Did not report usable data. Setting and intervention not applicable to routine dental care, therefore also downgraded for indirectness.",TRUE,FALSE,FALSE,TRUE,FALSE
