Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
"Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened opportunistically, or through an organised screening programme (Individuals attending for opportunistic screening (2), organised screening programme (4), validation as part of an organised screening programme or randomised controlled trial (3), screening as part of a routine surveillance appointment (1))",Conventional oral examination,No comparison,Oral cavity cancer or potentially malignant disorder,Sensitivity,0.5,0.07,0.93,NA,25568,10,NA,NA,NA,NA,NA,NA,NA
"Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened opportunistically, or through an organised screening programme (Individuals attending for opportunistic screening (2), organised screening programme (4), validation as part of an organised screening programme or randomised controlled trial (3), screening as part of a routine surveillance appointment (1))",Conventional oral examination,No comparison,Oral cavity cancer or potentially malignant disorder,specificity ,0.98,0.92,1,NA,25568,10,NA,NA,NA,NA,NA,NA,NA
"Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened opportunistically, or through an organised screening programme (Individuals attending for opportunistic screening (2), organised screening programme (4), validation as part of an organised screening programme or randomised controlled trial (3), screening as part of a routine surveillance appointment (1))",Conventional oral examination,No comparison,Oral cavity cancer or potentially malignant disorder,Sensitivity,0.99,0.97,1,NA,25568,10,NA,NA,NA,NA,NA,NA,NA
"Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened opportunistically, or through an organised screening programme (Individuals attending for opportunistic screening (2), organised screening programme (4), validation as part of an organised screening programme or randomised controlled trial (3), screening as part of a routine surveillance appointment (1))",Conventional oral examination,No comparison,Oral cavity cancer or potentially malignant disorder,specificity ,0.99,0.99,0.99,NA,34819,2,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened through an organised screening programme ( Individuals attending for organised screening programme (2)),Mouth self examination,No comparison,Oral cavity cancer or potentially malignant disorder,Sensitivity ,0.18,0.13,0.24,NA,34819,2,NA,NA,NA,NA,NA,NA,NA
Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened through an organised screening programme ( Individuals attending for organised screening programme (2)),Mouth self examination,No comparison,Oral cavity cancer or potentially malignant disorder,Specificity,1,1,1,NA,34819,2,NA,NA,NA,NA,NA,NA,NA
Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened through an organised screening programme ( Individuals attending for organised screening programme (2)),Mouth self examination,No comparison,Oral cavity cancer or potentially malignant disorder,Sensitivity ,0.33,0.1,0.65,NA,34819,2,NA,NA,NA,NA,NA,NA,NA
Oral cavity cancer or potentially malignant disorder symptom‐free individuals screened through an organised screening programme ( Individuals attending for organised screening programme (2)),Mouth self examination,No comparison,Oral cavity cancer or potentially malignant disorder,Specificity,0.54,0.37,0.69,NA,34819,2,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Oral cavity cancer or potentially malignant disorder symptom‐free individuals with tobacco habits (Individuals attending an organised screening programme),Conventional oral examination plus vital rinsing (Toluidine blue),Conventional oral examination alone,Detection of oral pre‐malignant lesions and malignant lesions,Rate ratio,1.05,0.74,1.41,FALSE,7975,1,NA,NA,NA,NA,NA,NA,NA
Oral cavity cancer or potentially malignant disorder symptom‐free individuals with tobacco habits (Individuals attending an organised screening programme),Conventional oral examination plus vital rinsing (Toluidine blue),Conventional oral examination alone,Incidence of oral cancer,Relative incidence rate,0.79,0.24,1.23,FALSE,7975,1,NA,NA,NA,NA,NA,NA,NA
