Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People with oral cavity or oropharyngeal cancers,EGFR mAb (either cetuximab or nimotuzumab + either RT or CRT),RT or CRT alone,Overall survival,HR,0.82,0.69,0.97,TRUE,1421,3,Moderate,Downgraded once for reporting bias (potential publication bias and poor reporting of EGFR and biopsy data in one study).,FALSE,FALSE,FALSE,FALSE,TRUE
People with oral cavity or oropharyngeal cancers,EGFR mAb (either cetuximab or nimotuzumab + either RT or CRT),RT or CRT alone,Locoregional control,HR,0.68,0.52,0.89,TRUE,424,1,Moderate,Downgraded once due to this being a single study at unclear risk of performance bias.,TRUE,FALSE,FALSE,FALSE,FALSE
People with oral cavity or oropharyngeal cancers,EGFR mAb (either cetuximab or nimotuzumab + either RT or CRT),RT or CRT alone,Progression-free survival,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with oral cavity or oropharyngeal cancers,EGFR mAb (either cetuximab or nimotuzumab + either RT or CRT),RT or CRT alone,Adverse effects (skin toxicity/acneiform rash - all grades),RR,6.56,5.35,8.03,TRUE,1311,2,NA,NA,NA,NA,NA,NA,NA
People with oral cavity or oropharyngeal cancers,EGFR mAb (either cetuximab or nimotuzumab + either RT or CRT),RT or CRT alone,Adverse effects (skin toxicity/acneiform rash - grades ≥ 3),RR,17.72,8.33,37.73,TRUE,1403,3,NA,NA,NA,NA,NA,NA,NA
People with oral cavity or oropharyngeal cancers,Tyrosine kinase inhibitors (erlotinib gefitinib or lapatinib) + standard therapy (either RT or CRT),Standard therapy (either RT or CRT alone),Overall survival,HR,0.99,0.62,1.57,FALSE,271,2,Very low,"Downgraded once due reporting bias (data from a large study (Gregoire 2011) was not available).
Downgraded once due to imprecision
Downgraded once due to unclear risk of bias across multiple domains.",TRUE,TRUE,FALSE,FALSE,TRUE
People with oral cavity or oropharyngeal cancers,Tyrosine kinase inhibitors (erlotinib gefitinib or lapatinib) + standard therapy (either RT or CRT),Standard therapy (either RT or CRT alone),Locoregional control,HR,0.89,0.53,1.49,FALSE,271,2,Very low,"Downgraded once due reporting bias (data from a large study (Gregoire 2011) was not available).
Downgraded once due to imprecision
Downgraded once due to unclear risk of bias across multiple domains.",TRUE,TRUE,FALSE,FALSE,TRUE
People with oral cavity or oropharyngeal cancers,Tyrosine kinase inhibitors (erlotinib gefitinib or lapatinib) + standard therapy (either RT or CRT),Standard therapy (either RT or CRT alone),Disease-free Survival,HR,1.51,0.61,3.71,FALSE,60,1,Very low,"Downgraded once due reporting bias (data from a large study (Gregoire 2011) was not available).
Downgraded once due to imprecision
Downgraded once for applicability ‐ only participants receiving RT as a standard therapy were included in this subgroup (no CRT).",TRUE,TRUE,FALSE,TRUE,TRUE
People with oral cavity or oropharyngeal cancers,Tyrosine kinase inhibitors (erlotinib gefitinib or lapatinib) + standard therapy (either RT or CRT),Standard therapy (either RT or CRT alone),Progression-free Survival,HR,0.8,0.51,1.28,FALSE,271,2,Very low,"Downgraded once due reporting bias (data from a large study (Gregoire 2011) was not available).
Downgraded once due to imprecision
Downgraded once due to unclear risk of bias across multiple domains.",TRUE,TRUE,FALSE,FALSE,TRUE
People with oral cavity or oropharyngeal cancers,Tyrosine kinase inhibitors (erlotinib gefitinib or lapatinib) + standard therapy (either RT or CRT),Standard therapy (either RT or CRT alone),Adverse effects (gastrointestinal complaints - all grades),RR,15.53,2.18,110.55,TRUE,67,1,NA,NA,NA,NA,NA,NA,NA
People with oral cavity or oropharyngeal cancers,Recombinant Interleukin (rIL-2) + standard therapy (surgery),Standard therapy (surgery) alone,Overall survival,HR,0.52,0.31,0.87,TRUE,201,1,Very low,"Downgraded twice due to high/unclear risk of bias across domains.
Downgraded once due to this being a single study and due to applicability (only participants receiving surgery as a standard therapy were included in this subgroup (no RT/CRT).",TRUE,FALSE,FALSE,TRUE,FALSE
People with oral cavity or oropharyngeal cancers,Recombinant Interleukin (rIL-2) + standard therapy (surgery),Standard therapy (surgery) alone,Disease-free survival,HR,0.66,0.43,1.02,FALSE,201,1,Very low,"Downgraded twice due to high/unclear risk of bias across domains.
Downgraded once due to this being a single study and due to applicability (only participants receiving surgery as a standard therapy were included in this subgroup (no RT/CRT).",TRUE,FALSE,FALSE,TRUE,FALSE
People with oral cavity or oropharyngeal cancers,Recombinant Interleukin (rIL-2) + standard therapy (surgery),Standard therapy (surgery) alone,Adverse effects,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,NA,NA,NA
