Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
decayed primary molar teeth,preformed crown,filling,Major failure - long term (12 months to 48 months),RR,0.18,0.06,0.56,TRUE,346,3,Moderate,Intervention and comparison look different. Blinding not possible. Outcomes have subjective elements. One study only had data from 87% of randomised participants from one country.,TRUE,FALSE,FALSE,FALSE,FALSE
decayed primary molar teeth,preformed crown,filling,Pain - long term (12 months to 24 months),RR,0.15,0.04,0.67,TRUE,312,2,Moderate,Intervention and comparison look different. Blinding not possible. Outcomes have subjective elements.,TRUE,FALSE,FALSE,FALSE,FALSE
decayed primary molar teeth,preformed crown,filling,Satisfaction with treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
decayed primary molar teeth,preformed crown,filling,Discomfort associated with the procedure,RR,0.56,0.36,0.87,TRUE,381,2,Moderate,Intervention and comparison look different. Blinding not possible. Outcomes have subjective elements.,TRUE,FALSE,FALSE,FALSE,FALSE
decayed primary molar teeth,preformed crown,filling,Gingival bleeding - long term (12 months),RR,1.74,0.99,3.06,FALSE,195,2,Low,Intervention and comparison look different. Blinding not possible. Outcomes have subjective elements. Small sample size; event rates were low. Confidence intervals were wide.,TRUE,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
children with decayed primary molar teeth,preformed crown,non-restorative caries treatment,Major failure (12 months),RR,0.12,0.01,2.18,FALSE,92,1,Very low,Very serious risk of bias. Blinding impossible. Only 87% of data from one country available. Very serious imprecision; small sample size; wide confidence intervals.,TRUE,TRUE,FALSE,FALSE,FALSE
children with decayed primary molar teeth,preformed crown,non-restorative caries treatment,Pain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with decayed primary molar teeth,preformed crown,non-restorative caries treatment,Satisfaction with treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with decayed primary molar teeth,preformed crown,non-restorative caries treatment,Discomfort associated with the procedure,RR,1.67,0.65,4.25,FALSE,104,1,Very low,Very serious risk of bias. Blinding impossible. Only 87% of data from one country available. Very serious imprecision; small sample size; wide confidence intervals.,TRUE,TRUE,FALSE,FALSE,FALSE
children with decayed primary molar teeth,preformed crown,non-restorative caries treatment,Gingival bleeding - long term (12 months),RR,1.09,0.42,2.86,FALSE,92,1,Very low,Very serious risk of bias. Blinding impossible. Only 87% of data from one country available. Very serious imprecision; small sample size; wide confidence intervals.,TRUE,TRUE,FALSE,FALSE,FALSE
