Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
children with extensive decay in primary teeth,MTA,formocresol,Clinical failure (12 months),RR,0.31,0.1,0.93,TRUE,740,12,Moderate,Downgraded 1 level due to high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,MTA,formocresol,Radiological failure (12 months),RR,0.41,0.19,0.89,TRUE,740,12,Moderate,Downgraded 1 level due to high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,MTA,calcium hydroxide,Clinical failure (12 months),RR,0.16,0.04,0.7,TRUE,150,4,Moderate,Downgraded 1 level due to high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,MTA,calcium hydroxide,Radiological failure (12 months),RR,0.12,0.04,0.36,TRUE,150,4,Low,Downgraded 1 level due to high risk of bias and 1 level due to substantial inconsistency,TRUE,FALSE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,calcium hydroxide,formocresol,Clinical failure (12 months),RR,1.87,1.22,2.89,TRUE,332,6,Moderate,Downgraded 1 level due to high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,calcium hydroxide,formocresol,Radiological failure (12 months),RR,1.86,1.42,2.44,TRUE,332,6,Moderate,Downgraded 1 level due to high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,laser ,ferric sulphate,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Biodentine,MTA,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,ferric sulphate,formocresol,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,electrosurgery ,ferric sulphate,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,calcium hydroxide,ferric sulphate,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
