Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,Percentage of closed pockets,MD,16.2,25.87,6.53,TRUE,44,1,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 2 levels due to imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,CAL,MD,0.47,0.9,0.05,TRUE,389,2,Very Low,"Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to risk of bias as studies showed unclear or high risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,Probing pocket depth,MD,0.3,0.42,0.18,TRUE,389,2,Very Low,"Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to risk of bias as studies showed unclear or high risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,Percentage of BOP,MD,8.06,14.26,1.85,TRUE,389,2,Very Low,"Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to risk of bias as studies showed unclear or high risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,Antimicrobial resistance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,Adverse events,NA,NA,NA,NA,NA,389,2,Very Low,"Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to risk of bias as studies showed unclear or high risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Amoxicillin + metronidazole + SRP,SRP,Patient-reported quality of life changes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,Percentage of closed pockets,MD,12.2,29.23,4.83,FALSE,22,1,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 2 levels due to imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,CAL,MD,1.12,2.24,0,TRUE,71,3,Very Low,"Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to risk of bias as studies showed unclear or high risk of bias.
Downgraded by 1 level for inconsistency.",TRUE,TRUE,TRUE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,Probing pocket depth,MD,1.11,2.84,0.61,FALSE,47,2,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 2 levels due to imprecision.
Downgraded by 1 level for inconsistency.",TRUE,TRUE,TRUE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,Percentage of BOP,MD,6.9,22.1,8.3,FALSE,22,1,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 2 levels due to imprecision.
Downgraded by 1 level for inconsistency.",TRUE,TRUE,TRUE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,Antimicrobial resistance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,Adverse events,NA,NA,NA,NA,NA,71,3,Very Low,"Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to risk of bias as studies showed unclear or high risk of bias.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Metronidazole + SRP,SRP,Patient-reported quality of life changes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with periodontitis (chronic/aggressive),Azithromycin + SRP,SRP,Percentage of closed pockets,MD,2.5,10.19,15.19,FALSE,40,1,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 1 level due to inconsistency.
Downgraded by 2 levels due to imprecision.",TRUE,TRUE,TRUE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Azithromycin + SRP,SRP,CAL,MD,0.59,1.27,0.08,FALSE,110,2,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to inconsistency.",TRUE,TRUE,TRUE,FALSE,FALSE
Adults with periodontitis (chronic/aggressive),Azithromycin + SRP,SRP,Probing pocket depth,MD,0.77,2.33,0.79,FALSE,110,2,Very Low,"Downgraded by 1 level due to unclear risk of bias.
Downgraded by 2 levels due to imprecision.
Downgraded by 2 levels due to inconsistency.",TRUE,TRUE,TRUE,FALSE,FALSE
