Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Lower lip bumper,No active treatment,Change in the amount of crowding at 6 months,MD,-4.39,-5.07,-3.71,TRUE,34,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Cervical pull headgear,Minor interceptive procedures,Amount of crowding at 2 years,MD,0.33,-0.6,1.26,FALSE,64,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Lower lingual arch,No active treatment,Amount of crowding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Self-ligating brackets,Conventional brackets,Amount of crowding at 10 weeks,MD,-0.4,-0.93,0.13,FALSE,60,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Coaxial nickel-titanium archwire,Nickel-titanium archwire,Amount of tooth movement at 12 weeks,MD,6.77,5.55,7.99,TRUE,24,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Copper nickel-titanium archwire,Nickel-titanium archwire,Amount of crowding at 12 weeks,MD,0.49,0.35,0.63,TRUE,66,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Titanol,Nitinol,Change in the amount of crowding up to 37 weeks,MD,-0.28,-0.89,0.33,FALSE,40,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Nickel-titanium archwire,Multistranded stainless steel archwire,Change in the amount of crowding at 8 weeks,MD,1.6,-22.16,25.36,FALSE,25,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Nickel-titanium archwire,Stainless steel archwire,Change in the amount of crowding at 8 weeks,MD,-16.8,-42.79,9.19,FALSE,24,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Multistranded stainless steel archwire,Stainless steel archwire,Change in the amount of crowding at 8 weeks,MD,-18.4,-47.12,10.32,FALSE,23,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Lacebacks and fixed appliances,Fixed appliances only,Change in the amount of crowding at 6 months,MD,-0.33,-5.9,5.24,FALSE,62,1,Very low,"Downgraded one level as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
"children or adolescents, or both (age ≤ 16 years) having treatment to prevent or correct dental crowding",Vibrational appliances with fixed appliances,Fixed appliances only,Change in the amount of crowding at 10 to 30 weeks,MD,0.24,-0.81,1.3,FALSE,119,2,Very low,"Downgraded twice as both studies at high risk of bias, Downgraded one level as studies were potentially underpowered",TRUE,TRUE,FALSE,FALSE,FALSE
children or adolescents (age ≤ 16 years) having treatment to prevent or correct dental crowding,Schwarz appliance,No active treatment,Change in the amount of crowding at 9 months (after 6 months treatment),MD,-2.14,-2.79,-1.49,TRUE,28,1,Very low,"Downgraded as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
children or adolescents (age ≤ 16 years) having treatment to prevent or correct dental crowding,Eruption guidance appliance (EGA),No active treatment,Number of children with crowding after 1 year,OR,0.19,0.05,0.68,TRUE,46,1,Very low,"Downgraded as study at high risk of bias, Downgraded twice as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
children or adolescents (age ≤ 16 years) having treatment to prevent or correct dental crowding,Extraction of wisdom teeth,No active treatment,Change in the amount of crowding at 5 years,MD,-0.3,-1.3,0.7,FALSE,77,1,Very low,"Downgraded one level as study at high both studies were at unclear risk of bias, Downgraded as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
children or adolescents (age ≤ 16 years) having treatment to prevent or correct dental crowding,Extraction of deciduous canines,No active treatment,Change in the amount of crowding at 1-2 years,MD,-4.76,-6.24,-3.28,TRUE,83,1,Very low,"Downgraded one level as study at high both studies were at unclear risk of bias, Downgraded as only one small study reported on this",TRUE,TRUE,FALSE,FALSE,FALSE
