Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Oral mucositis (any),RR,0.61,0.52,0.72,TRUE,444,5,Moderate,All 5 studies at high risk of performance and detection bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Oral mucositis (moderate + severe),RR,0.52,0.41,0.65,TRUE,444,5,Moderate,All 5 studies at high risk of performance and detection bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Oral mucositis (severe),RR,0.4,0.27,0.61,TRUE,444,5,Moderate,All 5 studies at high risk of performance and detection bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Interruptions to cancer treatment,RR,0.44,0.2,0.95,TRUE,80,1,Very Low,"Single study at high risk of performance and detection bias
Low sample size and wide confidence interval
Indirect due to single study in 1 setting (in terms of country, healthcare system, and participants potentially differing from other countries)",TRUE,TRUE,FALSE,TRUE,FALSE
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Oral pain (1 to 5 scale),MD,-1.93,-2.37,-1.49,TRUE,80,1,Very Low,"Single study at high risk of performance and detection bias
Low sample size and wide confidence interval
Indirect due to single study in 1 setting (in terms of country, healthcare system, and participants potentially differing from other countries)",TRUE,TRUE,FALSE,TRUE,FALSE
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Normalcy of diet (days of total parenteral nutrition),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with solid cancers receiving fluorouracil-based cancer treatment,Cryotherapy,Control (no treatment or routine care),Duration of hospitalisation (days),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Oral mucositis (any),RR,0.59,0.35,1.01,FALSE,270,5,Low,"All 5 studies at risk of performance and detection bias, with 1 study at added risk of attrition bias, The I2 value indicates that a considerable amount (> 90%) of the variability in effect estimates is due to heterogeneity rather than chance",TRUE,FALSE,TRUE,FALSE,FALSE
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Oral mucositis (moderate + severe),RR,0.43,0.17,1.09,FALSE,270,5,Low,"All 5 studies at risk of performance and detection bias, with 1 study at added risk of attrition bias, The I2 value indicates that a considerable amount (> 90%) of the variability in effect estimates is due to heterogeneity rather than chance",TRUE,FALSE,TRUE,FALSE,FALSE
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Oral mucositis (severe),RR,0.38,0.2,0.72,TRUE,270,5,Moderate,All 5 studies at risk of performance and detection bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Interruptions to cancer treatment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Oral pain on a 0 (no pain) to 10 (maximum pain) scale,MD,-1.5,-2.11,-0.89,TRUE,85,2,Low,"Both studies at high risk of performance and detection bias, Low sample size from 2 small studies",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Normalcy of diet (days of total parenteral nutrition),MD,-2.18,-4.33,-0.03,TRUE,78,1,Very Low,"Single study at high risk of performance and detection bias, Low sample size and wide confidence interval, Indirect due to single study in 1 setting",TRUE,TRUE,FALSE,TRUE,FALSE
Adults with haematological cancers receiving high-dose melphalan-based treatment prior to haematopoietic stem cell transplantation,Cryotherapy,Control (no treatment or routine care),Duration of hospitalisation (days),MD,-1.39,-2.97,0.19,FALSE,123,2,Low,"Both studies at high risk of performance and detection bias, Low sample size from 2 small studies",TRUE,TRUE,FALSE,FALSE,FALSE
