Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (xenografts)),Extraction,Changes in width of alveolar ridge (mm),MD,-1.18,-1.82,-0.54,TRUE,184,6,Very low,"Certainty of the evidence downgraded 1 level due to unclear risk of bias.
Certainty of the evidence downgraded 2 levels due to inconsistency (substantial heterogeneity).",TRUE,FALSE,TRUE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (xenografts)),Extraction,Changes in height of alveolar ridge (mm),MD,-1.35,-2,-0.7,TRUE,184,6,Very low,"Certainty of the evidence downgraded 1 level due to unclear risk of bias.
Certainty of the evidence downgraded 2 levels due to inconsistency (substantial heterogeneity).",TRUE,FALSE,TRUE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (xenografts)),Extraction,Complications,NA,NA,NA,NA,NA,54,2,Low,"Certainty of the evidence downgraded 1 level due to unclear risk of bias.
Certainty of the evidence downgraded 1 level due to imprecision (small studies and/or wide confidence intervals).",TRUE,TRUE,FALSE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (xenografts)),Extraction,Need for additional augmentation prior to implant placement,RR,0.68,0.29,1.62,FALSE,154,4,Very low,"Certainty of the evidence downgraded 1 level due to unclear risk of bias.
Certainty of the evidence downgraded 1 level due to inconsistency (moderate heterogeneity).
Certainty of the evidence downgraded 1 level due to imprecision (small studies and/or wide confidence intervals).",TRUE,TRUE,TRUE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (xenografts)),Extraction,Aesthetic outcomes of future prosthodontic rehabilitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (xenografts)),Extraction,Implant failure rate,RR,1,0.07,14.9,FALSE,70,2,Very low,"Certainty of the evidence downgraded 2 levels due to high risk of bias.
Certainty of the evidence downgraded 1 level due to imprecision (small studies and/or wide confidence intervals).",TRUE,TRUE,FALSE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (alloplasts)),Extraction,Changes in width of alveolar ridge (mm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (alloplasts)),Extraction,Changes in height of alveolar ridge (mm),MD,-3.73,-4.05,-3.41,TRUE,15,1,Very low,"Certainty of the evidence downgraded 1 level due to unclear risk of bias.
Certainty of the evidence downgraded 2 levels due to imprecision (single study with limited number of participants).",TRUE,TRUE,FALSE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (alloplasts)),Extraction,Complications,NA,NA,NA,NA,NA,15,1,Very low,"Certainty of the evidence downgraded 1 level due to unclear risk of bias.
Certainty of the evidence downgraded 2 levels due to imprecision (single study with limited number of participants).",TRUE,TRUE,FALSE,FALSE,FALSE
Adults requiring replacement of missing teeth,Alveolar ridge preservation (ARP) techniques (bone grafting (alloplasts)),Extraction,Need for additional augmentation prior to implant placement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
