Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People requiring replacement of missing teeth,Xenograft,Extraction,Changes in width of alveolar ridge at 6-36 month follow-up (mm),MD,-1.97,-2.48,-1.46,TRUE,70,2,Moderate,Quality of evidence has been downgraded because these studies are at unclear or high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Xenograft,Extraction,Changes in height of alveolar ridge at 6-36 month follow-up (mm),MD,-2.6,-3.43,-1.76,TRUE,70,2,Moderate,Quality of evidence has been downgraded because these studies are at unclear or high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Xenograft,Extraction,Complications (e.g. discomfort pain and swelling),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Xenograft,Extraction,Need for additional augmentation prior to implant placement at 7-36 months,RR,1.3,0.75,2.24,FALSE,40,1,Low,"Quality of evidence has been downgraded twice because the study is at high risk of bias, and lack of precision",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Xenograft,Extraction,Aesthetic outcomes of future prosthodontic rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Xenograft,Extraction,Implant failures at 7-36 months,RR,1,0.07,14.9,FALSE,40,1,Low,"Quality of evidence has been downgraded twice because the study is at high risk of bias, and lack of precision",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Xenograft,Extraction,Peri-implant marginal bone level changes at 7 months,MD,-0.02,-0.18,0.14,FALSE,38,1,Low,"Quality of evidence has been downgraded twice because the study is at high risk of bias, and lack of precision",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Xenograft,Extraction,Changes in probing depth at teeth adjacent to the extraction site,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Xenograft,Extraction,Changes in clinical attachment level (CAL) at teeth adjacent to the extraction site,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Xenograft,Extraction,Prosthodontic outcomes of rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Allograft,Extraction,Changes in width of alveolar ridge at 6 month follow-up (mm),MD,-1.4,-2.8,0,FALSE,24,1,Low,Quality of evidence has been downgraded twice because the study is at high risk of bias and lack of precision,TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Allograft,Extraction,Changes in height of alveolar ridge at 6 month follow-up (mm),MD,-2.2,-3.65,-0.75,TRUE,24,1,Low,Quality of evidence has been downgraded twice because the study is at high risk of bias and lack of precision,TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Allograft,Extraction,Complications (e.g. discomfort pain and swelling),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Allograft,Extraction,Aesthetic outcomes of future prosthodontic rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Allograft,Extraction,Changes in probing depth at teeth adjacent to the extraction site,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Allograft,Extraction,Changes in clinical attachment level (CAL) at teeth adjacent to the extraction site,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Allograft,Extraction,Prosthodontic outcomes of rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast,Xenograft,Changes in width of alveolar ridge at 6-12 month follow-up (mm),MD,-0.44,-0.9,0.02,FALSE,55,2,Moderate,Quality of evidence downgraded because the study is at high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Alloplast,Xenograft,Changes in height of alveolar ridge at 12 month follow-up (mm),MD,-0.35,-0.86,0.16,FALSE,49,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Alloplast,Xenograft,Complications (e.g. discomfort pain and swelling),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast,Xenograft,Need for additional augmentation prior to implant placement,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast,Xenograft,Aesthetic outcomes of future prosthodontic rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast,Xenograft,Implant failures at 12 months,RR,NA,NA,NA,NA,25,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Alloplast,Xenograft,Peri-implant marginal bone level changes,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast,Xenograft,Changes in probing pocket depth at teeth adjacent to the extraction site at 12 months (mm),MD,-0.3,-0.61,0.01,FALSE,25,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Alloplast,Xenograft,Changes in clinical attachment level (CAL) at teeth adjacent to the extraction site,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast,Xenograft,Prosthodontic outcomes of rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Changes in width of alveolar ridge at 9 month follow-up (mm),MD,0.43,0.18,0.68,TRUE,20,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Changes in height of alveolar ridge at 9 month follow-up (mm),MD,0.38,0.26,0.5,TRUE,20,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Complications (e.g. discomfort pain and swelling),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Need for additional augmentation prior to implant placement,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Aesthetic outcomes of future prosthodontic rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Peri-implant marginal bone level changes,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Changes in clinical attachment level (CAL) at teeth adjacent to the extraction site,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Alloplast with membrane,Alloplast without membrane,Prosthodontic outcomes of rehabilitation,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
People requiring replacement of missing teeth,Allograft with synthetic cell-binding peptide P-15,Allograft without synthetic cell-binding peptide P-15,Changes in width of alveolar ridge at 6 month follow-up (mm),MD,-0.87,-1.93,0.19,FALSE,36,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Allograft with synthetic cell-binding peptide P-15,Allograft without synthetic cell-binding peptide P-15,Changes in height of alveolar ridge at 6 month follow-up (mm),MD,-0.3,-1.38,0.78,FALSE,36,1,Low,"Quality of evidence downgraded because the study is at high risk of bias, Quality of evidence downgraded due to single study and imprecision (wide confidence interval)",TRUE,TRUE,FALSE,FALSE,FALSE
People requiring replacement of missing teeth,Allograft with synthetic cell-binding peptide P-15,Allograft without synthetic cell-binding peptide P-15,Complications (e.g. discomfort pain and swelling),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
