Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",RR,1.6,1.1,2.32,TRUE,203,4,Low,"Downgraded one level owing to study limitations (unclear risks of selection and detection bias).
Downgraded one level owing to imprecision (small total sample size).",TRUE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: pain on injection (solution deposition),MD,4.74,-1.98,11.46,FALSE,157,3,Moderate,Downgraded one level owing to imprecision (small total sample size).,FALSE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: pain following injection,MD,6.41,1.01,11.8,TRUE,156,3,Moderate,Downgraded one level owing to imprecision (small total sample size).,FALSE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",RR,0.86,0.79,0.95,TRUE,907,2,Moderate,"Downgraded one level owing to study limitations (unclear risk of attrition bias in one study, and both trials have unclear methods of randomization sequence generation and allocation concealment).",TRUE,FALSE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"3% prilocaine, 0.03 IU felypressin","2% lidocaine, 1:100,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",RR,0.85,0.71,1.02,TRUE,930,3,very low,"Downgraded one level owing to study limitations (unclear risk of attrition bias in one trial; unclear risks of selection bias in two trials).
Downgraded one level owing to inconsistency (substantial, unexplained heterogeneity).
Downgraded one level owing to imprecision (95% CI includes no effect and an appreciable benefit for 4% articaine, 1:100,000 epinephrine)",TRUE,TRUE,TRUE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,86,1,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,86,1,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,63,1,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",RR,0.86,0.75,0.99,TRUE,228,2,Low,"Downgraded one level owing to study limitations (unclear methods of randomization sequence generation and allocation concealment).
Downgraded one level owing to imprecision (small total sample size).",TRUE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,4% prilocaine plain,"2% lidocaine 1:100, 000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",OR,0.87,0.27,2.83,FALSE,37,2,Low,"Downgraded one level owing to study limitations (trials had unclear or high risk of bias related to methods of randomization sequence generation and allocation concealment, and one study had high risk of bias for blinding of participants and personnel and incomplete outcome data (high attrition rate of 46%)).
Downgraded one level owing to imprecision (small total sample size, and 95% confidence interval includes no effect and an appreciable benefit for both solutions).",TRUE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"4% articaine, 1:200,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",OR ,0.58,0.07,5.12,FALSE,31,2,Low,"Downgraded one level owing to study limitations (unclear methods of randomization sequence generation).
Downgraded one level owing to imprecision (small total sample size, and 95% confidence interval includes no effect and an appreciable benefit for both solutions).",TRUE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,100,1,,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% lidocaine, 1:100,000 epinephrine","0.5% bupivacaine, 1:200,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",OR,3.82,0.61,23.82,FALSE,110,2,Low,"Downgraded one level owing to study limitations (unclear risks of bias (methods of randomization sequence generation, allocation concealment, blinding of participants and personnel, and blinding of outcome assessors)).
Downgraded one level owing to imprecision (small total sample size).",TRUE,TRUE,FALSE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,147,2,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","4% articaine, 1:100,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine","Success of local anaesthesia, measured by the absence of pain during a procedure using a visual analogue scale or other appropriate method (clinical testing of diseased pulps with irreversible pulpitis)",RR,1.16,0.25,5.45,FALSE,68,2,Low,"Downgraded one level owing to inconsistency (wide variation in point estimates and substantial unexplained heterogeneity).
Downgraded one level owing to imprecision (small total sample size, and 95% CI includes no effect and an appreciable benefit for both solutions).",FALSE,TRUE,TRUE,FALSE,FALSE
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Speed of onset of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Duration of anaesthesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: pain on injection (solution deposition),NA,NA,NA,NA,NA,48,1,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: pain following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: paraesthesia following injection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participants regardless of age and gender who were undergoing dental procedures and volunteers who took part in simulated scenario studies in which dental local anaesthesia was tested,"2% mepivacaine, 1:100,000 epinephrine","2% lidocaine, 1:100,000 epinephrine",Adverse effects: allergy to local anaesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
