Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
"adults, 16 years and older",flossing plus toothbrushing,toothbrushing only,Gingivitis measured by gingival index,SMD,-0.58,-1.12,-0.04,TRUE,585,8,Low,Downgraded two levels due to high and unclear risk of bias in the studies and substantial heterogeneity,TRUE,FALSE,TRUE,FALSE,FALSE
"adults, 16 years and older",flossing plus toothbrushing,toothbrushing only,Gingivitis measured by proportion of bleeding sites,MD,-0.03,-0.14,0.08,FALSE,158,2,Very low,"Downgraded three levels due to high and unclear risk of bias in the studies, substantial heterogeneity and lack of precision in the estimate",TRUE,TRUE,TRUE,FALSE,FALSE
"adults, 16 years and older",flossing plus toothbrushing,toothbrushing only,Periodontitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",flossing plus toothbrushing,toothbrushing only,Interproximal caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",flossing plus toothbrushing,toothbrushing only,Plaque,SD,-0.42,-0.85,0.02,FALSE,542,7,Very low,"Downgraded three levels due to high and unclear risk of bias in the studies, substantial heterogeneity and lack of precision in the estimate",TRUE,TRUE,TRUE,FALSE,FALSE
"adults, 16 years and older",flossing plus toothbrushing,toothbrushing only,Harms and adverse effects,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",interdental brushing plus toothbrushing,toothbrushing only,Gingivitis measured by gingival index,SMD,-0.53,-0.83,-0.23,TRUE,62,1,Very low,Downgraded three levels due to being based on only one small trial at unclear risk of bias,TRUE,TRUE,FALSE,FALSE,FALSE
"adults, 16 years and older",interdental brushing plus toothbrushing,toothbrushing only,Gingivitis measured by proportion of bleeding sites,MD,-0.05,-0.13,0.03,FALSE,31,1,Very low,Downgraded three levels due to being based on only one small trial at unclear risk of bias,TRUE,TRUE,FALSE,FALSE,FALSE
"adults, 16 years and older",interdental brushing plus toothbrushing,toothbrushing only,Periodontitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",interdental brushing plus toothbrushing,toothbrushing only,Interproximal caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",interdental brushing plus toothbrushing,toothbrushing only,Plaque,SMD,-1.07,-1.51,-0.63,TRUE,93,2,Low,Downgraded two levels due to being based on only two small trials at unclear risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
"adults, 16 years and older",interdental brushing plus toothbrushing,toothbrushing only,Harms and adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",wooden interdental cleaning stick plus toothbrushing,toothbrushing only,Gingivitis measured by gingival index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",wooden interdental cleaning stick plus toothbrushing,toothbrushing only,Gingivitis measured by proportion of bleeding sites,MD,-0.25,-0.37,-0.13,TRUE,24,1,Very low,Downgraded three levels due to there being only one small trial at unclear risk of bias,TRUE,TRUE,FALSE,FALSE,FALSE
"adults, 16 years and older",wooden interdental cleaning stick plus toothbrushing,toothbrushing only,Periodontitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adults, 16 years and older",wooden interdental cleaning stick plus toothbrushing,toothbrushing only,Interproximal caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
