Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People who had received fixed appliance treatment,Part-time clear plastic removable retainers,Any type of fixed retainer,Stability (Little's Irregularity Index),MD,0.92,0.23,1.61,TRUE,56,1,Very low,"Downgraded one level due to study limitations (high risk of detection bias).
Downgraded two levels for very serious imprecision due to the small sample size of a single study.
Downgraded one level since there is only one study for this comparison.
Only one study, which made it difficult to ascertain the likelihood of publication bias.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Part-time clear plastic removable retainers,Any type of fixed retainer,Survival (Failure of retainer),RR,0.44,0.2,0.98,TRUE,57,1,Very low,"Downgraded one level due to study limitations (high risk of detection bias).
Downgraded two levels for very serious imprecision due to the small sample size of a single study.
Downgraded one level since there is only one study for this comparison.
Only one study, which made it difficult to ascertain the likelihood of publication bias.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Part-time clear plastic removable retainers,Any type of fixed retainer,Patient satisfaction (Discomfort/pain),RR,12.22,1.69,88.52,TRUE,57,1,Very low,"Downgraded one level due to study limitations (high risk of detection bias).
Downgraded two levels for very serious imprecision due to the small sample size of a single study.
Downgraded one level since there is only one study for this comparison.
Only one study, which made it difficult to ascertain the likelihood of publication bias.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Part-time clear plastic removable retainers,Any type of fixed retainer,Adverse effects on oral health (Gingival Index),MD,-0.34,-0.66,-0.02,TRUE,59,1,Very low,"Downgraded one level due to study limitations (high risk of detection bias).
Downgraded two levels for very serious imprecision due to the small sample size of a single study.
Downgraded one level since there is only one study for this comparison.
Only one study, which made it difficult to ascertain the likelihood of publication bias.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Full-time clear plastic removable retainer,Any type of fixed retainer,Stability (Little's Irregularity Index),MD,0.6,0.17,1.03,TRUE,84,1,Very low,"Downgraded one level due to study limitations (serious/unclear risk of reporting bias).
Downgraded one level for imprecision due to the small sample size.
One study ? difficult to ascertain the likelihood of publication bias.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Full-time clear plastic removable retainer,Any type of fixed retainer,Survival (Failure of retainer),RR,3.42,1.38,8.47,TRUE,77,1,Very low,"Downgraded one level due to study limitations (serious/unclear risk of reporting bias).
One study ? difficult to ascertain the likelihood of publication bias.
Downgraded two levels for imprecision due to the very small sample size.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Full-time clear plastic removable retainer,Any type of fixed retainer,Patient satisfaction (Discomfort/pain),NA,NA,NA,NA,NA,0,0,Very low,"Downgraded one level due to study limitations (serious/unclear risk of reporting bias).
One study ? difficult to ascertain the likelihood of publication bias.
Downgraded two levels for imprecision due to the very small sample size.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Full-time clear plastic removable retainer,Any type of fixed retainer,Adverse effects on oral health (Caries),RD,0,-0.05,0.05,FALSE,84,1,Very low,"Downgraded one level due to study limitations (serious/unclear risk of reporting bias).
One study ? difficult to ascertain the likelihood of publication bias.
Downgraded two levels for imprecision due to the very small sample size.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,Full-time clear plastic removable retainer,Any type of fixed retainer,Adverse effects on oral health (Gingival bleeding),RR,0.53,0.31,0.88,TRUE,84,1,Very low,"Downgraded one level due to study limitations (serious/unclear risk of reporting bias).
One study ? difficult to ascertain the likelihood of publication bias.
Downgraded two levels for imprecision due to the very small sample size.",TRUE,TRUE,FALSE,FALSE,TRUE
People who had received fixed appliance treatment,CAD/CAM nitinol fixed retainer,Conventional/analogue multistrand fixed retainer,Stability (Little's Irregularity Index),MD,-0.46,-0.72,-0.21,TRUE,66,1,Very low,"Downgraded one level due to study limitations (serious/unclear risk detection bias).
Only one or two studies ? difficult to ascertain the likelihood of publication bias.
Downgraded one level for imprecision due to the small sample size.",TRUE,TRUE,FALSE,FALSE,TRUE
