Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Gingival inflammation short term (< 6 weeks),MD,-0.1,-0.77,0.57,FALSE,25,1,Low,Downgraded two levels due to imprecision: wide confidence intervals and findings were based on one study with only 25 participants.,FALSE,TRUE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Gingival inflammation medium term (6 weeks to 12 months),MD,-12.4,-24.31,-0.49,TRUE,18,1,Very low,"Downgraded two levels for imprecision and one for study design: based on only one study with 18 participants, in which assessments were not calibrated and baseline scores were different, and the confidence intervals were wide.",TRUE,TRUE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Plaque short term,MD,0.2,-0.45,0.85,FALSE,25,1,Very low,"Downgraded three levels due to imprecision: wide confidence intervals and based on one study with only 18 participants. In addition, 3 other RCTS could not be combined in meta‐analysis and had mixed findings.",FALSE,TRUE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Plaque medium term (6 weeks to 12 months),MD,-0.44,-0.93,0.05,FALSE,18,1,Very low,"Downgraded two levels for imprecision and one for study design: based on only one study with 18 participants, in which assessments were not calibrated and baseline scores were different, and the confidence intervals were wide.",TRUE,TRUE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mixed levels of ID,"Special manual toothbrush (self, carer or carer-assisted brushing)","Conventional manual toothbrush (self, carer or carer-assisted brushing)",Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,252,4,Low,Downgraded two levels due to study design as three studies at high risk of bias (blinding of participants and personnel was not possible in three of the studies; one study also had incomplete outcome data).,TRUE,FALSE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Gingival inflammation medium term (6 weeks to 12 months),MD,0.02,-0.06,0.09,FALSE,120,2,Moderate,Downgraded one level due to study design as studies at unclear risk of bias.,TRUE,FALSE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,247,4,Very low,"Downgraded two levels for study design and one level for heterogeneity: three studies at high risk of bias (blinding of participants and personnel was not possible in three of the studies), and findings inconsistent between studies.",TRUE,FALSE,TRUE,FALSE,FALSE
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Plaque medium term (6 weeks to 12 months),SMD,0.29,-0.07,0.65,FALSE,120,2,Low,Downgraded one level for study design and one level for imprecision: studies at unclear risk of bias and result imprecise.,TRUE,TRUE,FALSE,FALSE,FALSE
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
