Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Ventilator-associated pneumonia,RR,0.75,0.62,0.91,TRUE,2451,18,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Mortality,RR,1.09,0.96,1.23,FALSE,2014,14,Moderate,"Downgraded one level due to serious risk of bias: eight studies at high risk of bias, four at unclear risk of bias and three at low risk of bias. The sensitivity analysis based on three low‐risk‐of‐bias studies gave similar effect estimate (RR = 1.13), but further research may change this estimate.",TRUE,FALSE,FALSE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Duration of ventilation,MD,-0.09,-1.73,1.55,FALSE,800,5,Low,"Downgraded two levels due to serious imprecision and serious risk of bias: two studies at high risk of bias, three at low risk of bias. The sensitivity analysis based on three studies at low risk of bias gave an effect estimate of 0.84 days, which is not clinically important in the context of median duration of 12 days.",TRUE,TRUE,FALSE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Duration of ICU stay,MD,0.21,-1.48,1.89,FALSE,833,6,Moderate,Downgraded one level due to serious imprecision.,FALSE,TRUE,FALSE,FALSE,FALSE
critically ill adults and children receiving mechanical ventilation,chlorhexidine (mouthrinse or gel),placebo or usual care,Adverse effects,NA,NA,NA,NA,NA,NA,NA,Very low,"Downgraded three levels due to very serious imprecision and serious inconsistency: only two studies reported on this outcome, and they did not report data adequately to enable us to evaluate the risk of adverse events.",FALSE,TRUE,TRUE,FALSE,FALSE
critically ill patients receiving mechanical ventilation,toothbrushing (± chlorhexidine),no toothbrushing (± chlorhexidine),Incidence of VAP,RR,0.69,0.44,1.09,FALSE,889,5,Very low,"Downgraded three levels due to serious imprecision, substantial heterogeneity (I2 = 64%) and very serious risk of bias: five studies at high risk of bias.",TRUE,TRUE,TRUE,FALSE,FALSE
critically ill patients receiving mechanical ventilation,toothbrushing (± chlorhexidine),no toothbrushing (± chlorhexidine),Mortality,RR,0.87,0.7,1.09,FALSE,889,5,Low,Downgraded two levels due to very serious risk of bias: five studies at high risk of bias.,TRUE,FALSE,FALSE,FALSE,FALSE
critically ill patients receiving mechanical ventilation,toothbrushing (± chlorhexidine),no toothbrushing (± chlorhexidine),Duration of ventilation,MD,-0.11,-0.9,0.68,FALSE,644,3,Low,Downgraded two levels due to very serious risk of bias: three studies at high risk of bias.,TRUE,FALSE,FALSE,FALSE,FALSE
critically ill patients receiving mechanical ventilation,toothbrushing (± chlorhexidine),no toothbrushing (± chlorhexidine),Duration of ICU stay,MD,-1.82,-3.95,0.32,FALSE,583,2,Very low,Downgraded three levels due to very serious imprecision and serious risk of bias: two studies at high risk of bias.,TRUE,TRUE,FALSE,FALSE,FALSE
critically ill patients receiving mechanical ventilation,toothbrushing (± chlorhexidine),no toothbrushing (± chlorhexidine),Adverse effects,NA,NA,NA,NA,NA,NA,NA,Very low,"Downgraded three levels due to very serious imprecision and serious inconsistency: only one study reported on this outcome, with data which did not enable us to evaluate the risk of adverse events.",FALSE,TRUE,TRUE,FALSE,FALSE
