Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults with mandibular third molars requiring removal,Triangular flap,Envelope flap,Alveolar osteitis,RR,0.29,0.11,0.78,TRUE,94,3,Moderate,Studies at high or unclear risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Triangular flap,Envelope flap,Infection,RR,1.55,0.07,35.89,FALSE,45,1,Low,"Studies at high or unclear risk of bias, estimate is imprecise",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Triangular flap,Envelope flap,Permanent tongue chin or lip sensation,Peto OR,4.48,0.07,286.49,FALSE,45,1,Very low,"Studies at high or unclear risk of bias, estimate is imprecise, very small number of participants",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Triangular flap,Envelope flap,Mean pain at 24 hours,MD,-0.21,-0.32,-0.1,TRUE,102,2,Moderate,Studies at high or unclear risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Triangular flap,Envelope flap,Swelling (after 1 week),MD,0.66,0.26,1.07,TRUE,39,2,Low,"Very small number of participants, estimate is imprecise",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Triangular flap,Envelope flap,Maximum mouth opening (after 1 week),MD,0.81,-3.32,4.94,FALSE,39,2,Low,"Very small number of participants, estimate is imprecise",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,Alveolar osteitis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,Infection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,"Permanent tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,Temporary altered tongue chin or lip sensation,Peto OR,5.19,1.38,19.49,TRUE,355,2,Low,"Quality of evidence downgraded because studies at high or unclear risk of bias.
Control event rate is 0/55 in 1 study and 1/158 in the other. Quality of evidence downgraded because estimate is imprecise.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,Postoperative pain,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,Swelling,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Retractor (subperiosteal or Free's),No retractor,Maximum mouth opening,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Bone removal techniques (Lingual split with chisel),Bone removal with bur,All outcomes,NR,NR,NR,NR,NR,290,5,NA,NA,NA,NA,NA,NA,NA
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),Alveolar osteitis,RR ,0.33,0.01,8.09,FALSE,103,1,Very low,"Quality of evidence downgraded twice because there is a single study for each comparison at either high or unclear risk of bias.
Quality of evidence further downgraded because the estimate is imprecise (confidence interval includes both a reduction in adverse outcomes and a small increase)",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),Infection,RR ,0.5,0.05,5.43,FALSE,103,1,Very low,"Quality of evidence downgraded twice because there is a single study for each comparison at either high or unclear risk of bias.
Quality of evidence further downgraded because the estimate is imprecise (confidence interval includes both a reduction in adverse outcomes and a small increase)",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),"Permanent tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),"Temporary tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),Postoperative pain,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),Swelling,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Mechanical irrigation (high volume)),Irrigation technique B (Manual irrigation (low volume)),Maximum mouth opening,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),Alveolar osteitis,RR ,0.52,0.27,1.02,FALSE,211,1,Very low,"Quality of evidence downgraded twice because there is a single study for each comparison at either high or unclear risk of bias
Quality of evidence further downgraded because the estimate is imprecise (confidence interval includes both a reduction in adverse outcomes and a small increase)",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),Infection,RR ,0.17,0.02,1.37,FALSE,211,1,Very low,"Quality of evidence downgraded twice because there is a single study for each comparison at either high or unclear risk of bias
Quality of evidence further downgraded because the estimate is imprecise (confidence interval includes both a reduction in adverse outcomes and a small increase)",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),"Permanent tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),"Temporary tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),Postoperative pain,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),Swelling,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Irrigation technique A (Low volume (approx 25 ml)),Irrigation technique B (High volume (approx 175 ml)),Maximum mouth opening,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Primary (complete) wound closure,Secondary (partial) wound closure,Alveolar osteitis,RR,0.99,0.41,2.4,FALSE,374,3,Low,Quality of evidence has been downgraded because these studies are at unclear or high risk of bias. Quality of evidence has been further downgraded because the estimate is imprecise (confidence intervals include both an increase and a decrease in risk),TRUE,TRUE,FALSE,FALSE,FALSE
