Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People diagnosed with burning mouth syndrome,Antidepressants (trazodone),Placebo,Symptom relief: short-term (3 months) - Mean VAS pain score,MD,1.26,-0.24,2.76,FALSE,37,1,Very low,"Assumed placebo risk based on mean placebo group pain score at short term (3 months) follow up; downgraded once due to risk of bias: unclear risk of attrition and reporting biases; downgraded once due to indirectness: concerns relating to applicability, only 1 type of antidepressant assessed, effects of other antidepressants may differ; downgraded twice due to imprecision: OIS not met, and 95% CI includes no effect.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Antidepressants (trazodone),Placebo,Change in quality of life (QoL): short-term (3 months) - Mean Beck Depression Inventory score,NA,NA,NA,NA,NA,37,1,Very low,"Downgraded once due to unclear risk of attrition and reporting biases; downgraded twice due to indirectness: use of surrogate measure, and also concerns relating to applicability (only 1 type of antidepressant assessed, effects of other antidepressants may differ); downgraded once due to imprecision: OIS not met.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Antidepressants (trazodone),Placebo,Change in taste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Antidepressants (trazodone),Placebo,Change in feeling of dryness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Antidepressants (trazodone),Placebo,Adverse effects - Dizziness,RR,11.61,1.66,81.04,TRUE,37,1,Very low,"Downgraded once due to risk of bias: unclear risk of attrition and reporting biases; downgraded once due to indirectness: concerns relating to applicability, only 1 type of antidepressant assessed, effects of other antidepressants may differ; downgraded twice due to imprecision: OIS not met, and narrative report did not permit estimation of effect or 95% CI.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Antidepressants (trazodone),Placebo,Adverse effects - Drowsiness,RR,4.75,1.18,19.07,TRUE,37,1,Very low,"Downgraded once due to risk of bias: unclear risk of attrition and reporting biases; downgraded once due to indirectness: concerns relating to applicability, only 1 type of antidepressant assessed, effects of other antidepressants may differ; downgraded twice due to imprecision: OIS not met, and narrative report did not permit estimation of effect or 95% CI.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Anticonvulsants (gabapentin: +/- alpha lipoic acid (ALA)),Placebo,Symptom relief: short-term (≤ 3 months) - Bespoke geographical burning distribution numerical scale (0-4) (Dichotomised),RR,4,2.09,7.67,TRUE,100,1,Very low,"Assumed placebo risk based on control estimate at short term (3 months) follow up: total of control participants experiencing symptom relief, divided by total number of participants in control group multiplied by 100; downgraded twice due to high risk of bias across multiple domains; downgraded once due to indirectness: concerns relating to applicability, only 1 type of anticonvulsant assessed, effects of other anticonvulsants may differ; downgraded once due to imprecision: OIS not met.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Anticonvulsants (gabapentin: +/- alpha lipoic acid (ALA)),Placebo,Change in quality of life (QoL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Anticonvulsants (gabapentin: +/- alpha lipoic acid (ALA)),Placebo,Change in taste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Anticonvulsants (gabapentin: +/- alpha lipoic acid (ALA)),Placebo,Change in feeling of dryness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Anticonvulsants (gabapentin: +/- alpha lipoic acid (ALA)),Placebo,Adverse effects - Drowsiness (gabapentin alone),RR,31.95,1.84,553.64,TRUE,100,1,Very low,"Single 4 armed study (totalling 120 people), with 3 of 4 groups included in this comparison (placebo group: 60 people; gabapentin group: 20 people; gabapentin + ALA group: 20 people), the remaining group (ALA: 20 people) and placebo group (60 people) are included within summary of findings Table 5; downgraded twice due to high risk of bias across multiple domains; downgraded once due to indirectness: concerns relating to applicability, only 1 type of anticonvulsant assessed, effects of other anticonvulsants may differ; downgraded once due to imprecision: OIS not met.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Benzodiazepines (topical/systemic clonazepam),Placebo,Symptom relief: short-term (3 months) - Mean VAS pain score,MD,-1.89,-2.19,-1.59,TRUE,111,2,Very low,"Assumed placebo risk based on mean placebo group pain score at short‐term (≤ 3 months) follow up; downgraded once due to studies being assessed at unclear risk of bias across multiple domains; downgraded once due to inconsistency: substantial heterogeneity (I2 = 56%); downgraded once due to indirectness: concerns relating to applicability, only 1 type of benzodiazepine (clonazepam irrespective of mode of administration) assessed, effects of other benzodiazepines may differ; downgraded once due to imprecision: OIS not met.",TRUE,TRUE,TRUE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Benzodiazepines (systemic clonazepam),Placebo,Change in quality of life (QoL): short-term (3 months) - Mean depression score,MD,-0.2,-0.95,0.55,FALSE,20,1,Very low,"Assumed placebo risk based on mean placebo group depression score at short term (3 months) follow up; downgraded once due to high risk of selective reporting bias; downgraded twice due to indirectness: use of surrogate measure, and also concerns relating to applicability, only 1 type of benzodiazepine (clonazepam irrespective of mode of administration) assessed, effects of other benzodiazepines may differ; downgraded twice due to imprecision: OIS not met, and 95% CI includes no effect.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Benzodiazepines (systemic clonazepam),Placebo,Change in taste: short-term (≤ 3 months) - Mean taste test score,MD,-1,-3.11,1.11,FALSE,20,1,Very low,"Assumed placebo risk based on mean placebo group taste score at short‐term (≤ 3 months) follow up; downgraded once due to indirectness: concerns relating to applicability, only 1 type of benzodiazepine (clonazepam irrespective of mode of administration) assessed, effects of other benzodiazepines may differ; downgraded once due to high risk of selective reporting bias; downgraded twice due to imprecision: OIS not met, and 95% CI includes no effect.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Benzodiazepines (topical/systemic clonazepam),Placebo,Change in feeling of dryness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Benzodiazepines (topical clonazepam),Placebo,Adverse effects,NA,NA,NA,NA,NA,114,2,Very low,"Downgraded once due to studies being assessed at unclear risk of bias across multiple domains; downgraded once due to indirectness: concerns relating to applicability, only 1 type of benzodiazepine (clonazepam ‐ irrespective of mode of administration) assessed, effects of other benzodiazepines may differ; downgraded twice due to imprecision: OIS not met, and 95% CI includes no effect.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Cholinergics (bethanechol),Placebo,Symptom relief: short-term (3 months) - Bespoke BMS symptomology change scale (Dichotomised),RR,5,0.26,98,FALSE,40,1,Very low,"No placebo group participants experienced pain relief in the single study assessing cholinergics. Consequently, in order to calculate the corresponding risk, the assumed placebo risk for cholinergics is based on the assumed placebo risk for anticonvulsants, as detailed in summary of findings Table 2; downgraded twice: risk of bias concerns across multiple domains (allocation, blinding, selective reporting and absence of baseline data); downgraded once due to indirectness: concerns relating to applicability, only 1 type of anticholinergic assessed, effects of other cholinergics may differ; downgraded twice due to imprecision: OIS not met, and 95% CI includes no effect.",TRUE,TRUE,FALSE,TRUE,FALSE
People diagnosed with burning mouth syndrome,Cholinergics (bethanechol),Placebo,Change in quality of life (QoL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Cholinergics (bethanechol),Placebo,Change in taste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People diagnosed with burning mouth syndrome,Cholinergics (bethanechol),Placebo,Change in feeling of dryness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
