Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults with chronic periodontitis,FMS,Control,Tooth loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with chronic periodontitis,FMS,Control,Change in PPD; single- and multi-rooted teeth - Whole mouth,MD,0.01,-0.17,0.19,FALSE,82,3,Low,"One trial at high, one at unclear and one at low risk of bias. Small number of studies and participants. Downgraded two levels for design limitations and imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMS,Control,Change in CAL; single- and multi-rooted teeth - Whole mouth,MD,-0.02,-0.26,0.22,FALSE,82,3,Low,"One trial at high, one at unclear and one at low risk of bias. Small number of studies and participants. Downgraded two levels for design limitations and imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMS,Control,Change in BOP; single- and multi-rooted teeth - Whole mouth,MD,-2.86,-7.65,1.93,FALSE,120,4,Low,"One trial at high, two at unclear and one at low risk of bias. Small number of studies and participants. Downgraded two levels for design limitations and imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMD,Control,Tooth loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with chronic periodontitis,FMD,Control,Change in PPD; single- and multi-rooted teeth - Whole mouth,MD,0.13,-0.09,0.34,FALSE,44,2,Low,One trial at high and one at unclear risk of bias. Small number of trials and participants. Downgraded two levels for design limitations and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMD,Control,Change in CAL; single- and multi-rooted teeth - Whole mouth,MD,0.04,-0.25,0.33,FALSE,44,2,Low,One trial at high and one at unclear risk of bias. Small number of trials and participants. Downgraded two levels for design limitations and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMD,Control,Change in BOP; single- and multi-rooted teeth - Whole mouth,MD,12.59,-8.58,33.77,FALSE,68,3,Low,One trial at high and two at unclear risk of bias. Small number of trials and participants. Downgraded two levels for design limitations and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMS,FMD,Tooth loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults with chronic periodontitis,FMS,FMD,Change in PPD; single- and multi-rooted teeth - Whole mouth,MD,-0.11,-0.34,0.12,FALSE,45,2,Low,One trial at high and one at unclear risk of bias. Small number of trials and participants. Downgraded two levels for design limitations and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMS,FMD,Change in CAL; single- and multi-rooted teeth - Whole mouth,MD,-0.25,-0.42,-0.07,TRUE,45,2,Low,One trial at high and one at unclear risk of bias. Small number of trials and participants. Downgraded two levels for design limitations and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
Adults with chronic periodontitis,FMS,FMD,Change in BOP; single- and multi-rooted teeth - Whole mouth,MD,-1.59,-9.97,6.8,FALSE,45,2,Low,One trial at high and one at unclear risk of bias. Small number of trials and participants. Downgraded two levels for design limitations and imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
