Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
People with avulsed and replanted permanent teeth,Hyperbaric oxygen,Control,Periodontal healing at 12 months,RR,2.04,1.52,2.73,TRUE,69,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Hyperbaric oxygen,Control,Tooth survival at 12 months,RR,1.21,1.07,1.36,TRUE,69,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Hyperbaric oxygen,Control,Pulpal healing at 12 months,RR,1.25,1.06,1.48,TRUE,69,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Ledermix,Ultracal,Periodontal healing at 12 months,RR,1.67,0.8,3.49,FALSE,22,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT at unclear risk of bias in a single setting that failed to recruit sufficient participants to meet power calculation for primary outcome ? periodontal healing).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Ledermix,Ultracal,Tooth survival at 12 months,RR,NA,NA,NA,NA,22,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT at unclear risk of bias in a single setting that failed to recruit sufficient participants to meet power calculation for primary outcome ? periodontal healing).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Ledermix,Ultracal,Discolouration at 12 months - patient level - best case scenario for Ledermix,RR,7.2,1.03,50.28,TRUE,22,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT at unclear risk of bias in a single setting that failed to recruit sufficient participants to meet power calculation for primary outcome ? periodontal healing).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Ledermix,Ultracal,Discolouration at 12 months - patient level - worst case scenario for Ledermix,RR,8.4,1.23,57.29,TRUE,22,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT at unclear risk of bias in a single setting that failed to recruit sufficient participants to meet power calculation for primary outcome ? periodontal healing).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Extra-oral pulp extirpation at day 0,Intra-oral extirpation at day 7,Radiographic resorption (a proxy measure for periodontal healing) at 12 months,RR,1.35,0.81,2.24,FALSE,19,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Thymosin alpha 1,Control (saline),Periodontal healing at 48 months,RR,5.6,2.22,14.11,TRUE,73,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Thymosin alpha 1,Control (saline),Tooth survival at 12 months,RR,1.46,1.11,1.91,TRUE,73,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
People with avulsed and replanted permanent teeth,Thymosin alpha 1,Control (saline),Tooth survival at 48 months,RR,3.58,1.86,6.89,TRUE,73,1,Very low,Quality of the body of evidence is downgraded 3 levels due to risk of bias and imprecision (1 small RCT in a single centre at high risk of bias).,TRUE,TRUE,FALSE,FALSE,FALSE
