Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
"treating cavitated or dentine carious lesions, permanent or primary dentition",sealing using sealant materials,nonâselective carious tissue removal and CR,Failure of therapy,OR,5,0.51,49.27,FALSE,41,1,Very low,"Downgraded three levels due to study limitations (risk of bias) and serious imprecision (single study with low number of events, small sample size and wide confidence intervals)",TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary dentition",sealing with sealant materials,SE,Failure of therapy,OR,3.11,0.11,85.52,FALSE,82,2,Very low,"Downgraded three levels for study limitations (high risk of bias from lack of blinding), inconsistency (I2 = 74%) and imprecision (very low number of events, small sample size and wide confidence intervals)",TRUE,TRUE,TRUE,FALSE,FALSE
"treating cavitated or dentine carious lesions, permanent dentition",sealing,no treatment,Failure of therapy,OR,0.05,0,2.71,FALSE,103,2,Very low,"Downgraded three levels for high risk of bias (blinding, incomplete outcome data and selective reporting), inconsistency (I2 = 89%) and imprecision (low number of events, small sample size and wide confidence intervals)",TRUE,TRUE,TRUE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary dentition",nonâselective carious tissue removal and CR,HT,Failure of therapy,OR,8.35,3.73,18.68,TRUE,249,2,Low,Downgraded two levels in total for high risk of bias (mainly associated with blinding) and imprecision (only two studies and wide confidence intervals),TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary dentition",SE,HT,"Failure of therapy: SE vs HT â primary, cavitated but not deep",OR,8.94,0.57,139.67,FALSE,586,2,Very low,"Downgraded three levels for study limitations (high risk of bias due to lack of blinding of participants and outcome assessors), inconsistency (I2 = 92%) and imprecision (low number of events, small sample size and very wide confidence intervals)",TRUE,TRUE,TRUE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary dentition",SE,HT,"Failure of therapy: SE vs HT â primary, deep",OR,1.95,0.57,6.63,FALSE,72,1,Very low,"Downgraded three levels for study limitations (high risk of bias due to lack of blinding of participants, incomplete reporting and selective outcome reporting), and serious imprecision (single study, low number of events, small sample size and wide confidence intervals)",TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary dentition",nonâselective carious tissue removal and CR,NRCC,Failure of therapy,OR,1.16,0.5,2.71,FALSE,102,1,Very low,"Downgraded three levels for study limitations (high risk of bias due to lack of blinding of participants), and serious imprecision (single study, low number of events and small sample size)",TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary dentition",HT,NRCC,Failure of therapy,OR,0.19,0.05,0.74,TRUE,84,1,Very low,Downgraded three levels for study limitations (high risk of bias from lack of blinding of participants and imprecision (single study small sample size and small number of events),TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary and permanent dentition",nonâselective carious tissue removal and CR,SW,"Failure of therapy: CR vs SW â primary, deep",OR,2.43,0.65,9.12,FALSE,63,1,Very low,"Downgraded three levels for study limitations (high risk of bias for sequence generation, allocation concealment and blinding) and serious imprecision (single study, low number of events, small sample size and wide confidence intervals)",TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary and permanent dentition",nonâselective carious tissue removal and CR,SW,"Failure of therapy: CR vs SW â permanent, deep",OR,2.06,1.34,3.17,TRUE,398,3,Moderate,Downgraded one level for study limitations (high risk of bias prinicipally from a lack of blinding of participants and assessors),TRUE,FALSE,FALSE,FALSE,FALSE
treating cavitated or dentine carious lesions,nonâselective carious tissue removal and CR,SE,"Failure of therapy: CR vs SE â permanent, deep",OR,11.32,1.97,65.02,TRUE,179,2,Very low,"Downgraded three levels for study limitations (high risk of bias for sequence generation, allocation concealment and blinding for one study with 62% weight) and serious imprecision (small sample size, low number of events and wide confidence intervals)",TRUE,TRUE,FALSE,FALSE,FALSE
treating cavitated or dentine carious lesions,nonâselective carious tissue removal and CR,SE,"Failure of therapy: CR vs SE â primary, deep",OR,4.43,1.04,18.77,TRUE,265,4,Very low,Downgraded three levels for study limitations (principally for lack of blinding imprecision and inconsistency (I2 = 66%)),TRUE,TRUE,TRUE,FALSE,FALSE
treating cavitated or dentine carious lesions,nonâselective carious tissue removal and CR,SE,"Failure of therapy: CR vs SE â primary, cavitated but not deep",OR,0.62,0.21,1.88,FALSE,204,2,Very low,Downgraded three levels for study limitations (lack of blinding) and serious imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary and permanent dentition",SE,SW,"Failure of therapy: SW vs SE â primary, deep",OR,2.05,0.49,8.62,FALSE,126,2,Very low,Downgraded three levels for study limitations (high risk of bias across multiple domains) and serious imprecision (low number of events small sample size and wide confidence intervals),TRUE,TRUE,FALSE,FALSE,FALSE
"treating cavitated or dentine carious lesions, primary and permanent dentition",SE,SW,"Failure of therapy: SW vs SE â permanent, deep",OR,2.25,1.33,3.82,TRUE,371,3,Moderate,Downgraded one level for risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
