Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
"children with caries‐free (or non‐cavitated carious lesion) primary molars, aged 3–7 years",fluoride‐releasing resin‐based sealant,no treatment,"Development of ≥ 1 new carious lesion (caries incidence), 12 months",BB OR,1.21,0.37,3.94,FALSE,88 children (274 teeth),1,Low,We downgraded the evidence one level due to study limitations arising from lack of blinding and one level due to imprecision of effect estimates from a single study. The effect estimated included both appreciable benefit and appreciable harm.,TRUE,TRUE,FALSE,FALSE,FALSE
"children with caries‐free (or non‐cavitated carious lesion) primary molars, aged 3–7 years",fluoride‐releasing resin‐based sealant,no treatment,"Development of ≥ 1 new carious lesion (caries incidence), 24 months",BB OR,0.76,0.41,1.42,FALSE,85 children (255 teeth),1,Low,We downgraded the evidence one level due to study limitations arising from lack of blinding and one level due to imprecision of effect estimates from a single study. The effect estimated included both appreciable benefit and appreciable harm.,TRUE,TRUE,FALSE,FALSE,FALSE
"children with caries‐free (or non‐cavitated carious lesion) primary molars, aged 3–7 years",fluoride‐releasing resin‐based sealant,no treatment,Progression of non‐cavitated enamel caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children with caries‐free (or non‐cavitated carious lesion) primary molars, aged 3–7 years",fluoride‐releasing resin‐based sealant,no treatment,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children with caries‐free primary first molars with or without caries affecting other teeth, aged 1–5 years",glass ionomer‐based sealants,no sealants,"Development of at ≥ 1 new carious lesion (caries incidence), 12-30 months",OR,0.97,0.63,1.49,FALSE,449,1,Low,"We downgraded the evidence two levels due to study limitations arising from lack of blinding, imprecision and inconsistency.",TRUE,TRUE,TRUE,FALSE,FALSE
"children with caries‐free primary first molars with or without caries affecting other teeth, aged 1–5 years",glass ionomer‐based sealants,no sealants,Progression of non‐cavitated enamel caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children with caries‐free primary first molars with or without caries affecting other teeth, aged 1–5 years",glass ionomer‐based sealants,no sealants,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'healthy' children, with caries‐free second primary molars, aged 3–5 years",glass ionomer‐based sealants,fluoride‐releasing or non‐fluoride‐releasing resin‐based sealants,"Development of ≥ 1 new carious lesion (caries incidence), 6–24 months",NA,NA,NA,NA,NA,200,2,Very low,"We downgraded two levels for study limitations arising from lack of blinding and selective reporting, and one level for imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
"'healthy' children, with caries‐free second primary molars, aged 3–5 years",glass ionomer‐based sealants,fluoride‐releasing or non‐fluoride‐releasing resin‐based sealants,Progression of non‐cavitated enamel caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'healthy' children, with caries‐free second primary molars, aged 3–5 years",glass ionomer‐based sealants,fluoride‐releasing or non‐fluoride‐releasing resin‐based sealants,"Sealant retention, 24 months",BB OR,0.2,0.11,0.36,TRUE,100 children (100 tooth pairs),1,Very low,"We downgraded two levels for study limitations arising from lack of blinding and selective reporting, and one level for imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
"'healthy' children, with caries‐free second primary molars, aged 3–5 years",glass ionomer‐based sealants,fluoride‐releasing or non‐fluoride‐releasing resin‐based sealants,Adverse events,NA,NA,NA,NA,NA,100,1,Very low,"We downgraded two levels for study limitations arising from lack of blinding and selective reporting, and one level for imprecision.",TRUE,TRUE,FALSE,FALSE,FALSE
"children with caries?free second primary molars, aged 4�8 years",fluoride?releasing resin?based sealants,resin?based sealants,Development of ? 1 new carious lesion (caries incidence),NA,NA,NA,NA,NA,69,2,Low,"We judged the certainty of the evidence to be low for this comparison, and downgraded two levels for imprecision owing to the small study sample sizes and very low numbers of events.",FALSE,TRUE,FALSE,FALSE,FALSE
"children with caries?free second primary molars, aged 4�8 years",fluoride?releasing resin?based sealants,resin?based sealants,Progression of non?cavitated enamel caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children with caries?free second primary molars, aged 4�8 years",fluoride?releasing resin?based sealants,resin?based sealants,Sealant retention,NA,NA,NA,NA,NA,69,2,Very low,"We judged the certainty of the evidence to be very low for this outcome, and downgraded two levels for imprecision owing to the small study sample sizes and low numbers of failures, and one level for inconsistency of results.",FALSE,TRUE,TRUE,FALSE,FALSE
"children with caries?free second primary molars, aged 4�8 years",fluoride?releasing resin?based sealants,resin?based sealants,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children who were regular dental attenders with caries‐free first or second primary molars,flowable resin composite,resin‐based sealants,Development of ≥ 1 new carious lesion (caries incidence),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children who were regular dental attenders with caries‐free first or second primary molars,flowable resin composite,resin‐based sealants,Progression of non‐cavitated enamel caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children who were regular dental attenders with caries‐free first or second primary molars,flowable resin composite,resin‐based sealants,"Sealant retention, 12 months",NA,NA,NA,NA,NA,40,1,Low,We downgraded the evidence two levels due to study limitations arising from lack of blinding and imprecision from a single study with a small number of participants with no failures.,TRUE,TRUE,FALSE,FALSE,FALSE
children who were regular dental attenders with caries‐free first or second primary molars,flowable resin composite,resin‐based sealants,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children with sound primary molars, aged 2–4 years",autopolymerised sealant application,light polymerised sealant application,"Development of ≥ 1 new carious lesion (caries incidence), 24–36 months",OR,0.58,0.15,2.19,FALSE,52 children (52 tooth pairs),1,Very low,"We downgraded the evidence three levels to very low due to study limitations arising from lack of blinding, imprecision from a single study and indirectness of comparator sealant.",TRUE,TRUE,FALSE,TRUE,FALSE
"children with sound primary molars, aged 2–4 years",autopolymerised sealant application,light polymerised sealant application,Progression of non‐cavitated enamel caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"children with sound primary molars, aged 2–4 years",autopolymerised sealant application,light polymerised sealant application,"Sealant retention, 24–36 months",OR,0.68,0.33,1.44,FALSE,52 children (52 tooth pairs),1,Very low,"We downgraded the evidence three levels to very low due to study limitations arising from lack of blinding, imprecision from a single study and indirectness of comparator sealant.",TRUE,TRUE,FALSE,TRUE,FALSE
"children with sound primary molars, aged 2–4 years",autopolymerised sealant application,light polymerised sealant application,Adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
