Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias,incoherence
Young children between 1 and 6 years of age at the start of the study,1500 ppm F toothpaste,0 ppm F toothpaste,Caries increment (surface index d3fs),MD,-1.86,-2.51,-1.21,TRUE,998,1,Moderate,Downgraded for study limitations (unclear overall risk of bias),TRUE,FALSE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1450 ppm F toothpaste,250 ppm F toothpaste,Caries increment (surface index d3mfs),MD,-1.2,-2.92,0.52,FALSE,172,1,Low,Downgraded for study limitations (high risk of attrition bias) and imprecision,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1055 to 1100 ppm F toothpaste,500 to 550 ppm F toothpaste,Caries increment (surface index d3mfs),MD,-0.05,-0.38,0.28,FALSE,1958,2,Moderate,"Downgraded for imprecision. There were some study limitations in 1 study but we did not deem these to be sufficient for an additional downgrading of the certainty, as this study contributed only 27% to the overall estimate.",FALSE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1450 ppm F toothpaste,250 ppm F toothpaste,Caries increment (tooth index d3mft),MD,-0.4,-1.14,0.34,FALSE,172,1,Low,Downgraded for study limitations (high risk of attrition bias) and imprecision,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1055 to 1100 ppm F toothpaste,500 to 550 ppm F toothpaste,Caries increment (tooth index d3mft),MD,-0.27,-0.6,0.06,FALSE,905,1,Low,Downgraded for study limitations (unclear overall risk of bias) and imprecision,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1450 F toothpaste,440 ppm F toothpaste,Caries increment (tooth index d3mft),MD,-0.34,-0.59,-0.09,TRUE,2362,1,Moderate,Downgraded for imprecision. Some concerns regarding study limitations (unclear risk of bias for performance bias and contamination) but not considered sufficient to merit additional downgrading.,FALSE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1450 ppm F toothpaste,250 ppm F toothpaste,Proportion of children developing new caries,RR,0.92,0.54,1.57,FALSE,172,1,Low,Downgraded for study limitations (high risk of attrition bias) and imprecision,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1055 to 1100 ppm F toothpaste,500 to 550 ppm F toothpaste,Proportion of children developing new caries,RR,0.86,0.74,0.99,TRUE,905,1,Low,Downgraded for study limitations (unclear overall risk of bias) and imprecision,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1450 F toothpaste,440 ppm F toothpaste,Proportion developing new caries,RR,0.87,0.81,0.94,TRUE,2362,1,Moderate,Downgraded for imprecision. Some concerns regarding study limitations (unclear risk of bias for performance bias and contamination) but not considered sufficient to merit additional downgrading.,FALSE,TRUE,FALSE,FALSE,FALSE,NA
Young children between 1 and 6 years of age at the start of the study,1500 ppm F toothpaste,0 ppm F toothpaste,Adverse effects of toothpaste,NA,NA,NA,NA,NA,998,1,Low,Downgraded for imprecision (no events reported) and study limitations (unclear overall risk of bias),TRUE,TRUE,FALSE,FALSE,FALSE,NA
